,Name,status,GW,position,photo
0,Anthony_Gordon,transferred_out,37,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p232826.png
1,Bryan_Mbeumo,transferred_in,37,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p446008.png
2,Bukayo_Saka,transferred_out,37,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p223340.png
3,Jarrod_Bowen,transferred_in,37,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p178186.png
4,Benjamin_White,transferred_in,38,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p198869.png
5,Jurriën_Timber,transferred_out,38,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p445122.png
6,Alexander_Isak,playing,37,FWD,https://resources.premierleague.com/premierleague/photos/players/110x140/p219168.png
7,Bryan_Mbeumo,playing,37,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p446008.png
8,Daniel_Muñoz,playing,37,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p247348.png
9,David_Raya Martin,playing,37,GKP,https://resources.premierleague.com/premierleague/photos/players/110x140/p154561.png
10,Ezri_Konsa Ngoyo,playing,37,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p199798.png
11,Ibrahima_Konaté,benched,37,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p204716.png
12,Ismaïla_Sarr,playing,37,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p232185.png
13,Jacob_Murphy,playing,37,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p114243.png
14,Jarrod_Bowen,playing,37,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p178186.png
15,Jean-Philippe_Mateta,benched,37,FWD,https://resources.premierleague.com/premierleague/photos/players/110x140/p231747.png
16,Joško_Gvardiol,playing,37,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p477424.png
17,Jurriën_Timber,benched,37,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p445122.png
18,Mohamed_Salah,playing,37,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p118748.png
19,Omar_Marmoush,playing,37,FWD,https://resources.premierleague.com/premierleague/photos/players/110x140/p438234.png
20,Tom_King,benched,37,GKP,https://resources.premierleague.com/premierleague/photos/players/110x140/p138001.png
21,Alexander_Isak,playing,38,FWD,https://resources.premierleague.com/premierleague/photos/players/110x140/p219168.png
22,Benjamin_White,playing,38,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p198869.png
23,Bryan_Mbeumo,playing,38,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p446008.png
24,Daniel_Muñoz,playing,38,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p247348.png
25,David_Raya Martin,playing,38,GKP,https://resources.premierleague.com/premierleague/photos/players/110x140/p154561.png
26,Ezri_Konsa Ngoyo,benched,38,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p199798.png
27,Ibrahima_Konaté,benched,38,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p204716.png
28,Ismaïla_Sarr,playing,38,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p232185.png
29,Jacob_Murphy,playing,38,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p114243.png
30,Jarrod_Bowen,playing,38,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p178186.png
31,Jean-Philippe_Mateta,benched,38,FWD,https://resources.premierleague.com/premierleague/photos/players/110x140/p231747.png
32,Joško_Gvardiol,playing,38,DEF,https://resources.premierleague.com/premierleague/photos/players/110x140/p477424.png
33,Mohamed_Salah,playing,38,MID,https://resources.premierleague.com/premierleague/photos/players/110x140/p118748.png
34,Omar_Marmoush,playing,38,FWD,https://resources.premierleague.com/premierleague/photos/players/110x140/p438234.png
35,Tom_King,benched,38,GKP,https://resources.premierleague.com/premierleague/photos/players/110x140/p138001.png
