id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,player_name,team_title,own_team,opponent_team,distance_m,angle,big_chance,lastAction_clean,Type_Assist,result_clean,Shot_conversion,XG_created,Shot_player_code,Shot_Player_name,Assist_player_code,Assist_Player_name,Assist_Player_id
354876,58,Goal,0.8880000305175781,0.6659999847412109,0.0793332010507583,Erling Haaland,a,8260,OpenPlay,2019,LeftFoot,12562,Augsburg,Borussia Dortmund,3,5,2020-01-18 14:30:00,Jadon Sancho,Throughball,Erling Haaland,Man City,Borussia Dortmund,Augsburg,16.300811182545353,0.31339260751415976,0,throughball,active,Goal,0.9206667989492416,0.0793332010507583,223094,Erling Haaland,209243,Jadon Sancho,6345
354881,69,Goal,0.98,0.489000015258789,0.9206209778785706,Erling Haaland,a,8260,OpenPlay,2019,LeftFoot,12562,Augsburg,Borussia Dortmund,3,5,2020-01-18 14:30:00,Thorgan Hazard,Pass,Erling Haaland,Man City,Borussia Dortmund,Augsburg,2.2292380868258546,2.405400867382441,1,pass,inactive,Goal,0.07937902212142944,0.4603104889392853,223094,Erling Haaland,,,
354883,78,Goal,0.8830000305175781,0.3470000076293945,0.3228310048580169,Erling Haaland,a,8260,OpenPlay,2019,LeftFoot,12562,Augsburg,Borussia Dortmund,3,5,2020-01-18 14:30:00,Marco Reus,Throughball,Erling Haaland,Man City,Borussia Dortmund,Augsburg,16.098582281495183,0.35284434353984273,1,throughball,active,Goal,0.677168995141983,0.3228310048580169,223094,Erling Haaland,,,
355527,65,BlockedShot,0.8859999847412109,0.639000015258789,0.1191809996962547,Erling Haaland,h,8260,OpenPlay,2019,LeftFoot,12566,Borussia Dortmund,FC Cologne,5,1,2020-01-24 19:30:00,Jadon Sancho,Pass,Erling Haaland,Man City,Borussia Dortmund,FC Cologne,15.251926500307032,0.39517968014636606,0,pass,inactive,BlockedShot,,0.05959049984812735,223094,Erling Haaland,209243,Jadon Sancho,6345
355531,76,Goal,0.955,0.495,0.7466409802436829,Erling Haaland,h,8260,OpenPlay,2019,LeftFoot,12566,Borussia Dortmund,FC Cologne,5,1,2020-01-24 19:30:00,,Rebound,Erling Haaland,Man City,Borussia Dortmund,FC Cologne,4.737217010017594,1.743892109581501,1,rebound,no_assist,Goal,0.25335901975631714,0.0,223094,Erling Haaland,,,
355534,86,Goal,0.986999969482422,0.325,0.4675059914588928,Erling Haaland,h,8260,OpenPlay,2019,LeftFoot,12566,Borussia Dortmund,FC Cologne,5,1,2020-01-24 19:30:00,Mahmoud Dahoud,TakeOn,Erling Haaland,Man City,Borussia Dortmund,FC Cologne,11.97803129683146,0.05012157468868894,1,takeon,no_assist,Goal,0.5324940085411072,0.0,223094,Erling Haaland,,,
356589,17,Goal,0.9740000152587892,0.5429999923706055,0.6271569728851318,Erling Haaland,h,8260,FromCorner,2019,LeftFoot,12574,Borussia Dortmund,Union Berlin,5,0,2020-02-01 14:30:00,,,Erling Haaland,Man City,Borussia Dortmund,Union Berlin,4.000333013413188,1.7029257007495722,1,nan,no_assist,Goal,0.37284302711486816,0.0,223094,Erling Haaland,,,
356600,75,Goal,0.915,0.5609999847412109,0.1558070033788681,Erling Haaland,h,8260,OpenPlay,2019,LeftFoot,12574,Borussia Dortmund,Union Berlin,5,0,2020-02-01 14:30:00,Julian Brandt,Pass,Erling Haaland,Man City,Borussia Dortmund,Union Berlin,9.841825053926271,0.8493246924476546,0,pass,inactive,Goal,0.8441929966211319,0.07790350168943405,223094,Erling Haaland,,,
358133,18,SavedShot,0.9359999847412108,0.695,0.0589699000120162,Erling Haaland,a,8260,OpenPlay,2019,LeftFoot,12584,Bayer Leverkusen,Borussia Dortmund,4,3,2020-02-08 17:30:00,Jadon Sancho,Pass,Erling Haaland,Man City,Borussia Dortmund,Bayer Leverkusen,14.865598593168247,0.17386917422679593,0,pass,inactive,SavedShot,-0.04127893000841134,0.0294849500060081,223094,Erling Haaland,209243,Jadon Sancho,6345
358150,84,MissedShots,0.926999969482422,0.4540000152587891,0.0476517006754875,Erling Haaland,a,8260,FromCorner,2019,Head,12584,Bayer Leverkusen,Borussia Dortmund,4,3,2020-02-08 17:30:00,Jadon Sancho,Aerial,Erling Haaland,Man City,Borussia Dortmund,Bayer Leverkusen,8.278686588548922,1.0461412251458968,0,aerial,inactive,MissedShots,-0.0476517006754875,0.02382585033774375,223094,Erling Haaland,209243,Jadon Sancho,6345
