,Name,position,status,photo,GW,web_name,Is_captain
0,Alex_Palmer,GKP,Bench,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_40-110.png,1,Palmer,False
1,Andrés_García,DEF,Bench,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-110.png,1,A.García,False
2,Brian_Brobbey,FWD,Playing,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_56-110.png,1,Brobbey,False
3,Bruno_Borges Fernandes,MID,Playing,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_1-110.png,1,B.Fernandes,True
4,Bryan_Mbeumo,MID,Playing,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_1-110.png,1,Mbeumo,False
5,Bukayo_Saka,MID,Playing,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-110.png,1,Saka,False
6,David_Raya Martin,GKP,Playing,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-110.png,1,Raya,False
7,Enzo_Le Fée,MID,Playing,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_56-110.png,1,E.Le Fée,False
8,Gabriel_dos Santos Magalhães,DEF,Playing,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-110.png,1,Gabriel,False
9,Giovanni_Leoni,DEF,Bench,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-110.png,1,Leoni,False
10,Marc_Guéhi,DEF,Playing,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-110.png,1,Guéhi,False
11,Nico_O'Reilly,DEF,Playing,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-110.png,1,O'Reilly,False
12,Ollie_Watkins,FWD,Playing,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-110.png,1,Watkins,False
13,Rodrigo_Hernandez,MID,Playing,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-110.png,1,Rodrigo,False
14,Sean_Neave,FWD,Bench,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_4-110.png,1,Neave,False
