name,CBI
Moisés_Caicedo Corozo,11.4
Elliot_Anderson, 11.0
Bruno_Borges Fernandes,9.7
Carlos_Baleba,11.7
Christian_Nørgaard,10.4
Rodrigo_Martins Gomes,9.2
Ryan_Gravenberch,9.3
Iliman_Ndiaye,7.1
Lewis_Cook,9.5
Joelinton_Cássio Apolinário de Lira,9.0
Adam_Wharton,9.0
Bruno_Guimarães Rodriguez Moura,8.3
Sandro_Tonali,9.0
Mikkel_Damsgaard,7.3
Rodrigo_Bentancur,8.5
Declan_Rice,7.5
Carlos_Henrique Casimiro,9.3
Alexis_Mac Allister,7.6
Manuel_Ugarte Ribeiro,7.6
Murillo_Costa dos Santos,10.0
Joachim_Andersen,9.0
James_Tarkowski,9.9
Ethan_Pinnock,8.7
Jarrad_Branthwaite,8.7
Maxence_Lacroix,9.2
Nathan_Collins,8.8
Nikola_Milenković,7.8
Emmanuel_Agbadou,7.9
Maximilian_Kilman,8.2
Dan_Burn,7.3
Virgil_van Dijk,7.7
Illia_Zabarnyi,7.6
Toti_Gomes,7.4
Chris_Richards,7.4
Abdukodir_Khusanov,6.3
Ben_Davies,7.0
Marc_Guéhi,7.2
Jake_O'Brien,5.6
Micky_van de Ven,7.0
Tyrone_Mings,6.0
Trevoh_Chalobah,6.6
Jan_Paul van Hecke,6.5
Ibrahima_Konaté,5.9
Fabian_Schär,6.5
Vitalii_Mykolenko,6.5
Konstantinos_Mavropanos,6.3
Neco_Williams,6.1
Antonee_Robinson,7.0
Marcos_Senesi,5.8
William_Saliba,5.4
Jakub_Kiwior,4.6
Levi_Colwill,6.0
Gabriel_dos Santos Magalhães,5.3
Ezri_Konsa Ngoyo,4.7
Matthijs_de Ligt,5.8
Lewis_Dunk,4.7
Aaron_Wan-Bissaka,6.3
Ola_Aina,5.3
Joško_Gvardiol,5.7
Cristian_Romero,5.7
Rúben_Gato Alves Dias,4.4
Milos_Kerkez,5.0
Tyrick_Mitchell,4.8
Tino_Livramento,4.5
Daniel_Muñoz,5.8
Noussair_Mazraoui,5.1
Rodrigo_Hernandez,10.2
