fpl_name,fpl_web_name,understat_player_name,match_score,matched_on,player_name,Matched_Pos_List,Matched_Pos_Pct_List,Test
David_Raya Martin,Raya,David Raya,90.0,name-relaxed,David Raya,['GK'],[1.0],1
Kepa_Arrizabalaga,Arrizabalaga,Kepa,90.0,name-relaxed,Kepa,['GK'],[1.0],1
Illan_Meslier,Meslier,Illan Meslier,100.0,name-strict,Illan Meslier,['GK'],[1.0],1
Gabriel_dos Santos Magalhães,Gabriel,Gabriel,90.0,name-relaxed,Gabriel,['CB'],[1.0],1
Jurriën_Timber,J.Timber,Jurriën Timber,100.0,name-strict,Jurriën Timber,"['DR', 'DL']","[0.9, 0.1]",1
William_Saliba,Saliba,William Saliba,100.0,name-strict,William Saliba,['CB'],[1.0],1
Myles_Lewis-Skelly,Lewis-Skelly,Myles Lewis-Skelly,100.0,name-strict,Myles Lewis-Skelly,"['DM', 'DL']","[0.6, 0.4]",1
Riccardo_Calafiori,Calafiori,Riccardo Calafiori,100.0,name-strict,Riccardo Calafiori,['DL'],[1.0],1
Piero_Hincapié,Hincapie,Piero Hincapié,100.0,name-strict,Piero Hincapié,"['DL', 'CB']","[0.875, 0.125]",1
Benjamin_White,White,Morgan Gibbs-White,90.0,web_name-relaxed,Morgan Gibbs-White,"['LW', 'AMC', 'FW']","[0.4444444444444444, 0.4444444444444444, 0.1111111111111111]",1
Cristhian_Mosquera,Mosquera,Cristhian Mosquera,100.0,name-strict,Cristhian Mosquera,"['CB', 'DR']","[0.9, 0.1]",1
Bukayo_Saka,Saka,Bukayo Saka,100.0,name-strict,Bukayo Saka,"['RW', 'AMC']","[0.875, 0.125]",1
Declan_Rice,Rice,Declan Rice,100.0,name-strict,Declan Rice,"['DM', 'MC']","[0.7, 0.3]",1
Eberechi_Eze,Eze,Eberechi Eze,100.0,name-strict,Eberechi Eze,"['AMC', 'LW', 'MC']","[0.625, 0.25, 0.125]",1
Martin_Ødegaard,Ødegaard,Martin Odegaard,96.55172413793103,name-strict,Martin Odegaard,['MC'],[1.0],1
Noni_Madueke,Madueke,Noni Madueke,100.0,name-strict,Noni Madueke,"['RW', 'LW']","[0.8571428571428571, 0.14285714285714285]",1
Mikel_Merino Zazón,Merino,Mikel Merino,90.0,name-relaxed,Mikel Merino,"['MC', 'FW']","[0.5, 0.5]",1
Gabriel_Martinelli Silva,Martinelli,Gabriel Martinelli,95.0,name-strict,Gabriel Martinelli,['LW'],[1.0],1
Martín_Zubimendi Ibáñez,Zubimendi,Martín Zubimendi,95.0,name-strict,Martín Zubimendi,"['DM', 'MC', 'DR']","[0.5714285714285714, 0.2857142857142857, 0.14285714285714285]",1
Max_Dowman,Dowman,Max Dowman,100.0,name-strict,Max Dowman,['AMC'],[1.0],1
Christian_Nørgaard,Nørgaard,Christian Nørgaard,100.0,name-strict,Christian Nørgaard,['DM'],[1.0],1
Ethan_Nwaneri,Nwaneri,Ethan Nwaneri,100.0,name-strict,Ethan Nwaneri,['AMC'],[1.0],1
Fábio_Ferreira Vieira,Fábio Vieira,Fábio Vieira,100.0,web_name-strict,Fábio Vieira,['MC'],[1.0],1
Reiss_Nelson,Nelson,Reiss Nelson,100.0,name-strict,Reiss Nelson,['SUB'],[1.0],1
Viktor_Gyökeres,Gyökeres,Viktor Gyokeres,100.0,name-strict,Viktor Gyokeres,['FW'],[1.0],1
Kai_Havertz,Havertz,Kai Havertz,100.0,name-strict,Kai Havertz,"['FW', 'AMC', 'MC']","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666]",1
Gabriel_Fernando de Jesus,G.Jesus,Gabriel Jesus,100.0,name-strict,Gabriel Jesus,['FW'],[1.0],1
Emiliano_Martínez Romero,Martinez,Emiliano Martinez,95.0,name-strict,Emiliano Martinez,['GK'],[1.0],1
Marco_Bizot,M.Bizot,Marco Bizot,100.0,name-strict,Marco Bizot,['GK'],[1.0],1
Lucas_Digne,Digne,Lucas Digne,100.0,name-strict,Lucas Digne,['DL'],[1.0],1
Ezri_Konsa Ngoyo,Konsa,Ezri Konsa Ngoyo,100.0,name-strict,Ezri Konsa Ngoyo,['CB'],[1.0],1
Matty_Cash,Cash,Matthew Cash,90.0,web_name-relaxed,Matthew Cash,['DR'],[1.0],1
Tyrone_Mings,Mings,Tyrone Mings,100.0,name-strict,Tyrone Mings,['CB'],[1.0],1
Pau_Torres,Pau,Pau Torres,100.0,name-strict,Pau Torres,['CB'],[1.0],1
Lamare_Bogarde,Bogarde,Lamare Bogarde,100.0,name-strict,Lamare Bogarde,"['DM', 'DR']","[0.6666666666666666, 0.3333333333333333]",1
Ian_Maatsen,Maatsen,Ian Maatsen,100.0,name-strict,Ian Maatsen,['DL'],[1.0],1
Victor_Lindelöf,Lindelöf,Victor Lindelöf,100.0,name-strict,Victor Lindelöf,"['CB', 'DM']","[0.75, 0.25]",1
Andrés_García,A.García,Andrés García,100.0,name-strict,Andrés García,['DR'],[1.0],1
Kosta_Nedeljkovic,Nedeljkovic,Kosta Nedeljkovic,100.0,name-strict,Kosta Nedeljkovic,['SUB'],[1.0],1
Emiliano_Buendía Stati,Buendía,Emiliano Buendía,95.0,name-strict,Emiliano Buendía,"['LW', 'AMC']","[0.8, 0.2]",1
Evann_Guessand,Guessand,Evann Guessand,100.0,name-strict,Evann Guessand,['AMC'],[1.0],1
Leon_Bailey,Bailey,Leon Bailey,100.0,name-strict,Leon Bailey,['RW'],[1.0],1
John_McGinn,McGinn,John McGinn,100.0,name-strict,John McGinn,"['RW', 'AMC']","[0.6666666666666666, 0.3333333333333333]",1
Ross_Barkley,Barkley,Ross Barkley,100.0,name-strict,Ross Barkley,"['AMC', 'DM']","[0.7142857142857143, 0.2857142857142857]",1
Boubacar_Kamara,Kamara,Boubacar Kamara,100.0,name-strict,Boubacar Kamara,"['DM', 'MC']","[0.7, 0.3]",1
Amadou_Onana,Onana,Amadou Onana,100.0,name-strict,Amadou Onana,['DM'],[1.0],1
Samuel_Iling-Junior,Iling Jr,Unknown for understat,,no-match,,['SUB'],[1.0],1
Bradley_Burrowes,Burrowes,Bradley Burrowes,100.0,name-strict,Bradley Burrowes,['SUB'],[1.0],1
George_Hemmings,George Hemmings,George Hemmings,100.0,name-strict,George Hemmings,['SUB'],[1.0],1
Alysson_Edward Franco da Rocha dos Santos,Alysson,Alysson Edward,90.0,name-relaxed,Alysson Edward,['SUB'],[1.0],1
Johan_Manzambi,Manzambi,Unknown for understat,,no-match,,['AMC'],[1.0],1
Joao_Gomes,Gomes,João Gomes,100.0,name-strict,João Gomes,"['MC', 'DM']","[0.8888888888888888, 0.1111111111111111]",1
Ollie_Watkins,Watkins,Ollie Watkins,100.0,name-strict,Ollie Watkins,['FW'],[1.0],1
