,assists,bonus,bps,clean_sheets,element,expected_assists,expected_goal_involvements,expected_goals,kickoff_time,expected_goals_conceded,fixture,goals_conceded,goals_scored,minutes,opponent_team,saves,total_points,value,was_home,Cluster,XGH,XGCH,XGA,XGCA,Own_cluster,ICT,Threat,creativity,influence,season,XGC_DEF,XGC_FWD,XGC_MID,Own_Attacking_form,opponent_code,Team_XG,Team_XA,position,name,Team,available,average_minutes,gamepos,xGChain,xGBuildup,shots,key_passes,rolling_form,rolling_XG,rolling_XA,rolling_GC,rolling_bps,rolling_GS,rolling_shots,rolling_key_passes,rolling_XG_historic,rolling_XA_historic,rolling_Threat_historic,rolling_Creativity_historic,rolling_bps_historic,rolling_bonus_historic,rolling_bonus,rolling_GS_historic,rolling_Assist_historic,rolling_GC_historic,rolling_XGC_historic,rolling_Assist,BPS_per_90,Rolling_creativity,Rolling_influence,Rolling_BPS_per_90,XG_Mean,XA_Mean,Shots_Mean,time,rolling_Chain,Overscore,Average_Overscore,rolling_ICT,rolling_Threat,Threat_Mean,Influence_Mean,Adjusted_XG,Rolling_adjusted_XG_form,Rolling_adjusted_XG,Adjusted_XGC,Rolling_adjusted_XGC,Adjusted_XA,Rolling_adjusted_XA_form,Rolling_adjusted_XA,Adjusted_BPS,Rolling_adjusted_BPS,Adjusted_Fantasy,Rolling_adjusted_Fantasy,OverAssist,Adjusted_XG_Mean,XG_slope,XA_slope,Threat_slope,Influence_slope,Cluster_XG,Cluster_XA,rolling_Adjusted_XG_historic,rolling_Adjusted_XA_historic,Share_of_XG,Share_of_XA,Average_OverAssist,Rolling_adjusted_XA2,Rolling_adjusted_BPS2,Rolling_adjusted_Fantasy2,Rolling_adjusted_XG2,Rolling_adjusted_XGC2,XG_Mean_difference,XA_Mean_difference,Shot_Mean_difference,Threat_Mean_difference,Adjusted_XG_Mean_difference
0,0.0,0.0,15.0,0.0,81.0,0.0,0.0,0.0,2022-08-07,0.0,6.0,2.0,0.0,90.0,10.0,3.0,2.0,45.0,False,2,1.24,1.83,1.24,1.83,0,2.0,0.0,0.0,19.8,23,0.0,1.0,1.0,1.55,13,2.0,2.0,GK,David_Raya Martin,94,1,90.0,GK,0.02,0.02,0.0,0.0,,0.0,0.0,2.0,15.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.17,,,,,,,6,0.02,,,,,,19.8,0.0,,0.0,0.0,0.0,0.0,,0.0,8.21,17.25,1.1,1.1,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
1,0.0,0.0,30.0,1.0,81.0,0.0,0.0,0.0,2022-08-13,0.0,13.0,0.0,0.0,90.0,14.0,4.0,7.0,45.0,True,2,1.03,1.63,1.24,1.55,1,2.8,0.0,0.0,27.6,23,1.0,1.0,2.0,1.61,1,4.0,3.0,GK,David_Raya Martin,94,1,90.0,GK,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.69,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,19.8,0.17,0.0,0.0,0.0,7,0.01,,,2.02,0.03,0.0,23.7,0.0,,0.0,0.0,0.0,0.0,,0.0,19.38,17.56,4.52,1.62,,0.0,-0.0001220155364436,-0.0001978870154685,-0.0044369285979504,3.9,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.25,1.1,0.0,0.0,,,,inf,inf
2,0.0,0.0,20.0,0.0,81.0,0.0,0.0,0.0,2022-08-20,0.0,24.0,3.0,0.0,90.0,9.0,6.0,3.0,45.0,False,0,1.42,1.52,1.12,1.23,1,4.4,0.0,0.0,43.8,23,0.0,1.0,1.0,1.78,54,2.0,2.0,GK,David_Raya Martin,94,1,90.0,GK,0.05,0.05,0.0,0.0,2.77,0.0,0.0,1.89,17.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.67,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.22,0.0,21.0,0.19,0.0,0.0,0.0,8,0.02,,,1.99,0.03,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.17,16.95,1.98,1.68,,0.0,-0.0001106995816106,-0.0001795345941757,-0.0040254393312949,5.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.56,1.62,0.0,0.0,,,,inf,inf
3,0.0,2.0,25.0,0.0,81.0,0.0,0.0,0.0,2022-08-27,0.0,33.0,1.0,0.0,90.0,8.0,6.0,6.0,45.0,True,0,0.85,1.29,0.8,1.48,1,4.1,0.0,0.0,41.0,23,0.0,0.78,1.0,1.95,11,1.0,1.0,GK,David_Raya Martin,94,1,90.0,GK,0.14,0.14,0.0,0.0,2.8,0.0,0.0,1.76,18.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.28,0.0,24.51,0.2,0.0,0.0,0.0,9,0.05,,,2.12,0.02,0.0,33.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.93,16.94,4.06,2.04,,0.0,-0.0001006014731309,-0.0001631572982415,-0.0036582353865812,4.64,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16.95,1.68,0.0,0.0,,,,inf,inf
4,0.0,0.0,16.0,0.0,81.0,0.0,0.0,0.0,2022-08-30,0.0,43.0,1.0,0.0,90.0,7.0,3.0,3.0,45.0,False,0,1.27,1.4,1.2,1.54,1,2.0,0.0,0.0,20.0,23,0.0,0.17,0.83,1.72,31,1.0,1.0,GK,David_Raya Martin,94,1,90.0,GK,0.03,0.03,0.0,0.0,3.3,0.0,0.0,1.64,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.4,0.31,0.0,0.0,1.4,0.0,0.0,0.18,0.0,27.04,0.21,0.0,0.0,0.0,10,0.05,,,2.21,0.02,0.0,30.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.39,16.26,2.14,2.06,,0.0,-9.141937707326945e-05,-0.0001482656079079,-0.0033243409844825,3.06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16.94,2.04,0.0,0.0,,,,inf,inf
5,0.0,0.0,17.0,0.0,81.0,0.0,0.0,0.0,2022-09-03,0.0,52.0,2.0,0.0,90.0,11.0,4.0,2.0,45.0,True,0,1.29,1.45,1.2,1.61,1,4.2,0.0,10.0,32.4,23,0.6,0.89,1.0,1.69,2,5.0,1.0,GK,David_Raya Martin,94,1,90.0,GK,0.46,0.33,0.0,1.0,3.25,0.0,0.0,1.7,18.19,0.0,0.0,0.0,0.0,0.0,0.0,1.67,20.5,0.33,0.26,0.0,0.0,1.5,0.0,0.0,0.19,0.0,25.96,0.2,0.0,0.0,0.0,11,0.12,,,2.11,0.02,0.0,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.57,15.48,1.24,1.93,,0.0,-8.477234133581094e-05,-0.0001374853244937,-0.0030826305940294,2.22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16.26,2.06,0.0,0.0,,,,inf,inf
6,0.0,0.0,17.0,0.0,81.0,0.0,0.0,0.0,2022-09-18,0.0,72.0,3.0,0.0,90.0,1.0,4.0,2.0,45.0,True,3,2.1,0.99,1.94,0.93,1,3.7,0.0,0.0,36.8,23,0.0,0.0,0.52,1.81,3,0.0,0.0,GK,David_Raya Martin,94,1,90.0,GK,0.4,0.4,0.0,0.0,3.06,0.0,0.0,1.9,18.01,0.0,0.0,0.15,0.0,0.0,0.0,1.43,20.0,0.29,0.22,0.0,0.0,1.71,0.0,0.0,0.19,1.54,26.95,0.2,0.0,0.0,0.0,12,0.16,,,2.18,0.01,0.0,31.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.26,15.7,2.15,1.97,,0.0,-7.660028319507387e-05,-0.0001242317320181,-0.0027854648434572,1.77,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.48,1.93,0.0,0.0,,,,inf,inf
7,0.0,0.0,25.0,1.0,81.0,0.0,0.0,0.0,2022-10-01,0.0,82.0,0.0,0.0,90.0,3.0,0.0,6.0,45.0,False,2,1.18,1.56,1.21,1.82,1,0.7,0.0,0.0,6.6,23,0.13,0.0,0.27,1.62,91,0.0,0.0,GK,David_Raya Martin,94,1,90.0,GK,0.02,0.02,0.0,0.0,2.9,0.0,0.0,1.6,19.08,0.0,0.0,0.13,0.0,0.0,0.0,1.25,20.62,0.25,0.19,0.0,0.0,1.5,0.0,0.0,0.28,1.3,28.47,0.2,0.0,0.0,0.0,13,0.14,,,2.31,0.01,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.04,15.74,3.85,2.26,,0.0,-7.064279593685574e-05,-0.0001145697708648,-0.0025688289431583,1.18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.7,1.97,0.0,0.0,,,,inf,inf
8,0.0,0.0,11.0,0.0,81.0,0.0,0.0,0.0,2022-10-08,0.0,98.0,5.0,0.0,90.0,15.0,2.0,0.0,45.0,False,1,1.76,1.15,1.71,1.15,0,1.0,0.0,0.0,10.4,23,0.0,0.33,0.38,1.52,4,1.0,1.0,GK,David_Raya Martin,94,1,90.0,GK,0.0,0.0,0.0,0.0,3.37,0.0,0.0,2.13,17.84,0.0,0.0,0.11,0.0,0.0,0.0,1.11,19.56,0.22,0.16,0.0,0.0,1.89,0.0,0.0,0.12,1.1,25.1,0.21,0.0,0.0,0.0,14,0.12,,,2.12,0.01,0.0,26.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59,15.19,0.0,1.91,,0.0,-5.787651868385357e-05,-9.386519030181343e-05,-0.0021046006794128,0.69,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.74,2.26,0.0,0.0,,,,inf,inf
9,0.0,2.0,36.0,1.0,81.0,0.0,0.0,0.0,2022-10-14,0.0,102.0,0.0,0.0,90.0,5.0,7.0,10.0,45.0,True,0,1.47,1.26,1.67,1.35,0,4.8,0.0,0.0,47.8,23,0.0,0.92,0.0,1.62,36,2.0,1.0,GK,David_Raya Martin,94,1,90.0,GK,0.0,0.0,0.0,0.0,2.85,0.0,0.0,1.8,20.63,0.0,0.0,0.09,0.0,0.0,0.0,1.0,21.2,0.4,0.13,0.0,0.0,1.7,0.0,0.0,0.4,0.93,22.84,0.2,0.0,0.0,0.0,15,0.11,,,2.01,0.01,0.0,28.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,15.92,7.41,2.75,,0.0,-4.791119984660611e-05,-7.770325502395029e-05,-0.0017422254489674,0.52,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.19,1.91,0.0,0.0,,,,inf,inf
