,GW,name,position,Team,average_minutes,Goal_share,Assist_share,Pen_data,CBI_Percent,BPS,Save_Pred,Pos_Goal_Threat,Pos_Assist_Threat,Cards,Goal_factor,Assist_factor,CS_factor,default_points,value,selected,web_name
0,2,Aaron_Anselmino,DEF,8,0.0,0.0,0.0,0.0,0.12903988156760388,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,45,0.0,Anselmino
1,3,Aaron_Anselmino,DEF,8,0.0,0.0,0.0,0.0,0.11763279545640921,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,45,0.0,Anselmino
2,4,Aaron_Anselmino,DEF,8,0.0,0.0,0.0,0.0,0.10281871663087937,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,45,0.0,Anselmino
3,5,Aaron_Anselmino,DEF,8,0.0,0.0,0.0,0.0,0.16369879040034005,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,45,0.0,Anselmino
4,6,Aaron_Anselmino,DEF,8,0.0,0.0,0.0,0.0,0.16336594690989467,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,45,0.0,Anselmino
5,7,Aaron_Anselmino,DEF,8,0.0,0.0,0.0,0.0,0.15032754881417157,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,45,0.0,Anselmino
6,8,Aaron_Anselmino,DEF,8,0.0,0.0,0.0,0.0,0.15263711761050308,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,45,0.0,Anselmino
7,2,Aaron_Hickey,DEF,94,0.0,0.0,0.0,0.0,0.36387510481961743,1.0,0.0,0.094538977983863,0.1093234105418477,0.18,6,3,4.0,2,45,0.1,Hickey
8,3,Aaron_Hickey,DEF,94,0.0,0.0,0.0,0.0,0.36700019144510193,1.0,0.0,0.093730533655634,0.1296473935883078,0.18,6,3,4.0,2,45,0.1,Hickey
9,4,Aaron_Hickey,DEF,94,0.0,0.0,0.0,0.0,0.42763964767687734,1.0,0.0,0.0726371280752251,0.1204821332844117,0.18,6,3,4.0,2,45,0.1,Hickey
10,5,Aaron_Hickey,DEF,94,0.0,0.0,0.0,0.0,0.31674310108068454,1.0,0.0,0.1012994471074994,0.1075746705596532,0.18,6,3,4.0,2,45,0.1,Hickey
11,6,Aaron_Hickey,DEF,94,0.0,0.0,0.0,0.0,0.3499995431208871,1.0,0.0,0.1183312242204399,0.1320426689308612,0.18,6,3,4.0,2,45,0.1,Hickey
12,7,Aaron_Hickey,DEF,94,0.0,0.0,0.0,0.0,0.38977798313740253,1.0,0.0,0.1177143715395505,0.1418573279145411,0.18,6,3,4.0,2,45,0.1,Hickey
13,8,Aaron_Hickey,DEF,94,0.0,0.0,0.0,0.0,0.30483376370347176,1.0,0.0,0.1015026890760771,0.1373040083687681,0.18,6,3,4.0,2,45,0.1,Hickey
14,2,Abdoul_Ouattara,DEF,40,3.0,0.0014598049489713,0.0014204078850673,0.0,0.05717009598518097,1.1729622060470324,0.0,0.05,0.05,0.1,6,3,4.0,2,40,1.1,Ouattara
15,3,Abdoul_Ouattara,DEF,40,3.0,0.0014604684439418,0.0014213381434152,0.0,0.06462769974354143,1.1729622060470324,0.0,0.05,0.05,0.1,6,3,4.0,2,40,1.1,Ouattara
16,4,Abdoul_Ouattara,DEF,40,3.0,0.00146113186682,0.0014222692588623,0.0,0.06353323222051935,1.1729622060470324,0.0,0.05,0.05,0.1,6,3,4.0,2,40,1.1,Ouattara
17,5,Abdoul_Ouattara,DEF,40,3.0,0.0014614474675592,0.0014227318917637,0.0,0.06823110923650966,1.1729622060470324,0.0,0.05,0.05,0.1,6,3,4.0,2,40,1.1,Ouattara
18,6,Abdoul_Ouattara,DEF,40,3.0,0.0014614105786744,0.0014227199972196,0.0,0.04270403513886845,1.1729622060470324,0.0,0.05,0.05,0.1,6,3,4.0,2,40,1.1,Ouattara
19,7,Abdoul_Ouattara,DEF,40,3.0,0.0014613736958896,0.0014227081085803,0.0,0.07875444790152426,1.1729622060470324,0.0,0.05,0.05,0.1,6,3,4.0,2,40,1.1,Ouattara
