,0
0,Max_Weiß
1,Etienne_Green
2,Václav_Hladký
3,Connor_Roberts
4,Kyle_Walker
5,Hannes_Delcroix
6,Owen_Dodgson
7,Hjalmar_Ekdal
8,Maxime_Estève
9,Quilindschy_Hartman
10,Bashir_Humphreys
11,Jordan_Beyer
12,Lucas_Pires Silva
13,Shurandy_Sambo
14,Oliver_Sonne
15,Axel_Tuanzebe
16,Joe_Worrall
17,Jaidon_Anthony
18,Manuel_Benson Hedilazio
19,Jacob_Bruun Larsen
20,Enock_Agyei
21,Darko_Churlinov
22,Josh_Cullen
23,Marcus_Edwards
24,Hannibal_Mejbri
25,Luca_Koleosho
26,Josh_Laurent
27,Loum_Tchaouna
28,Aaron_Ramsey
29,Oluwaseun_Adewumi
30,Jaydon_Banel
31,Mike_Trésor Ndayishimiye
32,Zian_Flemming
33,Zeki_Amdouni
34,Lyle_Foster
35,Ashley_Barnes
36,Michael_Obafemi
37,Martin_Dúbravka
38,James_Ward-Prowse
39,Lesley_Ugochukwu
40,Armando_Broja
41,Florentino Ibrain_Morris Luís
42,Oliver_Pimlott
43,George_Brierley
44,Kian_McMahon-Brown
45,Norberto_Murara Neto
46,Đorđe_Petrović
47,Will_Dennis
48,Callan_McKenna
49,Alex_Paulsen
50,Illia_Zabarnyi
51,Marcos_Senesi Barón
52,Adam_Smith
53,Adrien_Truffert
54,Matai_Akinmboni
55,Owen_Bevan
56,James_Hill
57,Julián_Araujo Zúñiga
58,Chris_Mepham
59,Julio_Soler Barreto
60,Justin_Kluivert
61,Marcus_Tavernier
62,Tyler_Adams
63,David_Brooks
64,Ryan_Christie
65,Lewis_Cook
66,Philip_Billing
67,Alex_Scott
68,Luis_Sinisterra Lucumí
69,Romain_Faivre
70,Hamed_Traorè
71,Dominic_Sadi
72,Zain_Silcott-Duberry
73,Ben_Winterburn
74,Francisco Evanilson_de Lima Barbosa
75,Enes_Ünal
76,Daniel_Adu-Adjei
77,Eli Junior_Kroupi
78,Ben_Doak
79,Bafodé_Diakité
80,Remy_Rees-Dottin
81,Amine_Adli
82,Álex_Jiménez Sánchez
83,Veljko_Milosavljevic
84,Malcom_DaCosta
85,Fraser_Forster
86,Charlie_Stevens
87,Alex_Tóth
88,Christos_Mandas
89,Rayan Vitor_Simplício Rocha
90,Jason_Steele
91,Bart_Verbruggen
92,Tom_McGill
93,Carl_Rushworth
94,Kjell_Scherpen
95,Olivier_Boscagli
96,Diego_Coppola
97,Maxim_De Cuyper
98,Lewis_Dunk
99,Pervis_Estupiñán Tenorio
100,Ferdi_Kadıoğlu
101,Igor Julio_dos Santos de Paulo
102,Tariq_Lamptey
103,Jan Paul_van Hecke
104,Joël_Veltman
105,Adam_Webster
106,Eiran_Cashin
107,Jacob_Slater
108,Charlie_Tasker
109,Mitoma_Kaoru
110,Georginio_Rutter
111,Solly_March
112,Yankuba_Minteh
113,Julio_Enciso Espínola
114,Brajan_Gruda
115,Jack_Hinshelwood
116,Matt_O'Riley
117,Abdallah_Sima
118,Yasin_Ayari
119,Carlos_Baleba
120,Diego_Gómez Amarilla
121,James_Milner
122,Jeremy_Sarmiento Morante
123,Tom_Watson
124,Mats_Wieffer
125,Malick_Yalcouyé
126,Joe_Knight
127,Adrian_Mazilu
128,Andrew_Moran
129,Danny_Welbeck
130,Evan_Ferguson
131,Stefanos_Tzimas
132,Charalampos_Kostoulas
133,Nehemiah_Oriola
134,Freddie_Simmonds
135,Pascal_Groß
136,Harry_Howell
137,Robert_Lynch Sánchez
138,Filip_Jörgensen
139,Mike_Penders
140,Gabriel_Słonina
141,Marc_Cucurella Saseta
142,Reece_James
143,Trevoh_Chalobah
144,Levi_Samuels Colwill
145,Malo_Gusto
146,Benoît_Badiashile Mukinayi
147,Wesley_Fofana
148,Mamadou_Sarr
149,Tosin_Adarabioyo
150,Josh_Acheampong
151,Aarón_Anselmino
152,Cole_Palmer
153,Pedro_Lomba Neto
154,Enzo_Fernández
155,Estêvão_Almeida de Oliveira Gonçalves
156,Jamie_Bynoe-Gittens
157,Christopher_Nkunku
158,Moisés_Caicedo Corozo
159,Roméo_Lavia
160,Mykhailo_Mudryk
161,Andrey_Nascimento dos Santos
162,Dário_Luís Essugo
163,Kendry_Páez Andrade
164,João Pedro_Junqueira de Jesus
165,Liam_Delap
166,Nicolas_Jackson
167,Marc_Guiu Paz
168,Alejandro_Garnacho Ferreyra
169,Jorrel_Hato
170,Landon_Emenalo
171,Max_Merrick
172,Teddy_Sharman-Lowe
173,Jesse_Derry
174,Facundo_Buonanotte
175,Illan_Meslier
176,Alex_Cairns
177,Karl_Darlow
178,Jayden_Bogle
179,Pascal_Struijk
180,Jaka_Bijol
181,Sebastiaan_Bornauw
182,Sam_Byram
183,Gabriel_Gudmundsson
184,Joe_Rodon
185,Isaac_Schmidt
186,Brenden_Aaronson
187,Wilfried_Gnonto
188,Jack_Harrison
189,Daniel_James
190,Ethan_Ampadu
191,Sam_Greenwood
192,Ilia_Gruev
193,Largie_Ramazani
194,Tanaka_Ao
195,Charlie_Crew
196,Joe_Gelhardt
197,Darko_Gyabi
198,Joël_Piroe
199,Patrick_Bamford
200,Mateo_Joseph Fernández-Regatillo
201,Lukas_Nmecha
202,Sean_Longstaff
203,Anton_Stach
204,Lucas Estella_Perri
205,Dominic_Calvert-Lewin
206,Noah_Okafor
