,code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
360,2444831,37,False,False,362,2025-05-16T18:30:00Z,90,False,True,18,0,2,2,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 42}, {'value': 1, 'element': 44}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 54}, {'value': 1, 'element': 58}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 489}, {'value': 1, 'element': 768}], 'h': [{'value': 1, 'element': 32}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 5, 'element': 716}], 'h': [{'value': 1, 'element': 47}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 44}, {'value': 2, 'element': 42}, {'value': 1, 'element': 52}]}, {'identifier': 'bps', 'a': [{'value': 14, 'element': 716}, {'value': 9, 'element': 767}, {'value': 6, 'element': 499}, {'value': 6, 'element': 610}, {'value': 5, 'element': 480}, {'value': 5, 'element': 484}, {'value': 5, 'element': 489}, {'value': 5, 'element': 612}, {'value': 4, 'element': 503}, {'value': 3, 'element': 82}, {'value': 3, 'element': 482}, {'value': 3, 'element': 496}, {'value': 3, 'element': 497}, {'value': 3, 'element': 768}, {'value': 2, 'element': 491}, {'value': -3, 'element': 504}], 'h': [{'value': 46, 'element': 44}, {'value': 33, 'element': 42}, {'value': 30, 'element': 52}, {'value': 26, 'element': 233}, {'value': 25, 'element': 45}, {'value': 24, 'element': 32}, {'value': 23, 'element': 47}, {'value': 23, 'element': 54}, {'value': 21, 'element': 58}, {'value': 17, 'element': 762}, {'value': 16, 'element': 48}, {'value': 5, 'element': 28}, {'value': 4, 'element': 29}, {'value': 2, 'element': 725}]}, {'identifier': 'mng_underdog_win', 'a': [], 'h': []}, {'identifier': 'mng_underdog_draw', 'a': [], 'h': []}]",2,4,116188
361,2444834,37,False,False,365,2025-05-16T19:15:00Z,90,False,True,14,0,6,1,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 163}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 172}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 364}, {'value': 1, 'element': 366}, {'value': 1, 'element': 368}, {'value': 1, 'element': 594}, {'value': 1, 'element': 652}, {'value': 1, 'element': 658}], 'h': [{'value': 1, 'element': 182}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 383}], 'h': [{'value': 1, 'element': 185}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 163}, {'value': 2, 'element': 187}, {'value': 1, 'element': 172}]}, {'identifier': 'bps', 'a': [{'value': 15, 'element': 766}, {'value': 13, 'element': 383}, {'value': 10, 'element': 368}, {'value': 10, 'element': 376}, {'value': 9, 'element': 387}, {'value': 7, 'element': 377}, {'value': 5, 'element': 378}, {'value': 4, 'element': 364}, {'value': 4, 'element': 366}, {'value': 4, 'element': 372}, {'value': 4, 'element': 382}, {'value': 4, 'element': 594}, {'value': 2, 'element': 652}, {'value': -3, 'element': 658}], 'h': [{'value': 45, 'element': 163}, {'value': 35, 'element': 187}, {'value': 34, 'element': 172}, {'value': 26, 'element': 162}, {'value': 22, 'element': 185}, {'value': 19, 'element': 157}, {'value': 17, 'element': 182}, {'value': 7, 'element': 168}, {'value': 6, 'element': 171}, {'value': 5, 'element': 560}, {'value': 4, 'element': 696}, {'value': 2, 'element': 174}]}, {'identifier': 'mng_underdog_win', 'a': [], 'h': []}, {'identifier': 'mng_underdog_draw', 'a': [], 'h': []}]",2,4,116191
362,2444836,37,False,False,367,2025-05-18T11:00:00Z,90,False,True,17,0,8,2,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 2, 'element': 232}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 230}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 518}], 'h': [{'value': 1, 'element': 223}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 14}], 'h': [{'value': 2, 'element': 235}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 232}, {'value': 2, 'element': 231}, {'value': 1, 'element': 238}, {'value': 1, 'element': 582}]}, {'identifier': 'bps', 'a': [{'value': 14, 'element': 518}, {'value': 10, 'element': 452}, {'value': 10, 'element': 461}, {'value': 10, 'element': 718}, {'value': 8, 'element': 623}, {'value': 5, 'element': 471}, {'value': 5, 'element': 472}, {'value': 4, 'element': 27}, {'value': 4, 'element': 457}, {'value': 4, 'element': 473}, {'value': 4, 'element': 477}, {'value': 4, 'element': 719}, {'value': 3, 'element': 14}, {'value': 3, 'element': 798}, {'value': 1, 'element': 608}, {'value': -1, 'element': 462}], 'h': [{'value': 74, 'element': 232}, {'value': 41, 'element': 231}, {'value': 26, 'element': 238}, {'value': 26, 'element': 582}, {'value': 23, 'element': 219}, {'value': 23, 'element': 235}, {'value': 19, 'element': 222}, {'value': 18, 'element': 230}, {'value': 10, 'element': 223}, {'value': 7, 'element': 217}, {'value': 7, 'element': 228}, {'value': 6, 'element': 218}, {'value': 5, 'element': 220}, {'value': 3, 'element': 221}, {'value': 3, 'element': 224}, {'value': 3, 'element': 450}]}, {'identifier': 'mng_underdog_win', 'a': [], 'h': []}, {'identifier': 'mng_underdog_draw', 'a': [], 'h': []}]",1,3,116193
363,2444839,37,False,False,370,2025-05-18T13:15:00Z,90,False,True,16,2,19,1,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 433}, {'value': 1, 'element': 573}], 'h': [{'value': 1, 'element': 514}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 432}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 423}, {'value': 1, 'element': 436}, {'value': 1, 'element': 653}], 'h': [{'value': 1, 'element': 511}, {'value': 1, 'element': 516}, {'value': 1, 'element': 527}, {'value': 1, 'element': 588}, {'value': 1, 'element': 591}, {'value': 1, 'element': 654}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 4, 'element': 443}], 'h': [{'value': 3, 'element': 513}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 433}, {'value': 2, 'element': 437}], 'h': [{'value': 1, 'element': 514}]}, {'identifier': 'bps', 'a': [{'value': 34, 'element': 433}, {'value': 25, 'element': 437}, {'value': 22, 'element': 573}, {'value': 18, 'element': 432}, {'value': 15, 'element': 442}, {'value': 14, 'element': 431}, {'value': 11, 'element': 423}, {'value': 10, 'element': 436}, {'value': 10, 'element': 443}, {'value': 7, 'element': 422}, {'value': 7, 'element': 434}, {'value': 3, 'element': 447}, {'value': 3, 'element': 449}, {'value': 3, 'element': 596}, {'value': 2, 'element': 429}, {'value': -1, 'element': 653}], 'h': [{'value': 23, 'element': 514}, {'value': 14, 'element': 531}, {'value': 10, 'element': 524}, {'value': 8, 'element': 388}, {'value': 8, 'element': 591}, {'value': 6, 'element': 516}, {'value': 6, 'element': 517}, {'value': 6, 'element': 525}, {'value': 5, 'element': 589}, {'value': 5, 'element': 654}, {'value': 4, 'element': 513}, {'value': 4, 'element': 527}, {'value': 3, 'element': 526}, {'value': 3, 'element': 530}, {'value': 1, 'element': 588}]}, {'identifier': 'mng_underdog_win', 'a': [], 'h': []}, {'identifier': 'mng_underdog_draw', 'a': [], 'h': []}]",4,2,116196
364,2444832,37,False,False,363,2025-05-18T14:00:00Z,90,False,True,9,3,4,2,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 243}, {'value': 1, 'element': 252}, {'value': 1, 'element': 259}], 'h': [{'value': 1, 'element': 99}, {'value': 1, 'element': 110}]}, {'identifier': 'assists', 'a': [{'value': 2, 'element': 239}], 'h': [{'value': 1, 'element': 101}, {'value': 1, 'element': 110}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [{'value': 1, 'element': 248}], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': [{'value': 1, 'element': 99}]}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 19}, {'value': 1, 'element': 191}, {'value': 1, 'element': 248}, {'value': 1, 'element': 257}], 'h': [{'value': 1, 'element': 98}, {'value': 1, 'element': 101}, {'value': 1, 'element': 110}, {'value': 1, 'element': 338}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 248}], 'h': [{'value': 4, 'element': 91}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 252}, {'value': 1, 'element': 239}], 'h': [{'value': 2, 'element': 110}]}, {'identifier': 'bps', 'a': [{'value': 36, 'element': 252}, {'value': 30, 'element': 239}, {'value': 27, 'element': 259}, {'value': 26, 'element': 243}, {'value': 22, 'element': 255}, {'value': 14, 'element': 249}, {'value': 13, 'element': 248}, {'value': 10, 'element': 241}, {'value': 9, 'element': 622}, {'value': 6, 'element': 247}, {'value': 4, 'element': 579}, {'value': 4, 'element': 604}, {'value': 3, 'element': 586}, {'value': 2, 'element': 19}, {'value': -1, 'element': 191}, {'value': -2, 'element': 257}], 'h': [{'value': 35, 'element': 110}, {'value': 20, 'element': 99}, {'value': 18, 'element': 101}, {'value': 16, 'element': 89}, {'value': 16, 'element': 111}, {'value': 8, 'element': 106}, {'value': 7, 'element': 92}, {'value': 5, 'element': 91}, {'value': 4, 'element': 98}, {'value': 3, 'element': 95}, {'value': 3, 'element': 107}, {'value': 3, 'element': 757}, {'value': 1, 'element': 338}, {'value': -4, 'element': 86}]}, {'identifier': 'mng_underdog_win', 'a': [], 'h': []}, {'identifier': 'mng_underdog_draw', 'a': [], 'h': []}]",3,3,116189
365,2444837,37,False,False,368,2025-05-18T14:00:00Z,90,False,True,10,0,11,2,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 299}, {'value': 1, 'element': 306}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 295}, {'value': 1, 'element': 300}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 299}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 764}], 'h': [{'value': 2, 'element': 304}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 295}, {'value': 2, 'element': 306}, {'value': 1, 'element': 288}, {'value': 1, 'element': 291}]}, {'identifier': 'bps', 'a': [{'value': 22, 'element': 278}, {'value': 16, 'element': 274}, {'value': 11, 'element': 619}, {'value': 7, 'element': 631}, {'value': 6, 'element': 267}, {'value': 6, 'element': 630}, {'value': 5, 'element': 121}, {'value': 5, 'element': 270}, {'value': 5, 'element': 277}, {'value': 5, 'element': 282}, {'value': 4, 'element': 764}, {'value': 3, 'element': 281}, {'value': 2, 'element': 262}, {'value': 2, 'element': 265}, {'value': 2, 'element': 272}, {'value': 1, 'element': 268}], 'h': [{'value': 37, 'element': 295}, {'value': 32, 'element': 306}, {'value': 30, 'element': 288}, {'value': 30, 'element': 291}, {'value': 28, 'element': 305}, {'value': 23, 'element': 299}, {'value': 22, 'element': 300}, {'value': 22, 'element': 304}, {'value': 17, 'element': 635}, {'value': 16, 'element': 285}, {'value': 14, 'element': 192}, {'value': 7, 'element': 302}, {'value': 5, 'element': 792}, {'value': 4, 'element': 797}, {'value': 3, 'element': 501}, {'value': 2, 'element': 289}]}, {'identifier': 'mng_underdog_win', 'a': [], 'h': []}, {'identifier': 'mng_underdog_draw', 'a': [], 'h': []}]",2,1,116194
366,2444830,37,False,False,361,2025-05-18T15:30:00Z,90,False,True,15,0,1,1,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 16}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 13}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 395}, {'value': 1, 'element': 405}, {'value': 1, 'element': 420}], 'h': [{'value': 1, 'element': 4}, {'value': 1, 'element': 8}, {'value': 1, 'element': 15}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 413}], 'h': [{'value': 5, 'element': 15}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 16}, {'value': 2, 'element': 8}, {'value': 1, 'element': 15}]}, {'identifier': 'bps', 'a': [{'value': 18, 'element': 417}, {'value': 14, 'element': 394}, {'value': 13, 'element': 402}, {'value': 12, 'element': 409}, {'value': 11, 'element': 395}, {'value': 11, 'element': 413}, {'value': 8, 'element': 415}, {'value': 7, 'element': 393}, {'value': 6, 'element': 398}, {'value': 4, 'element': 392}, {'value': 3, 'element': 411}, {'value': 3, 'element': 420}, {'value': 2, 'element': 405}, {'value': 2, 'element': 421}, {'value': 2, 'element': 590}], 'h': [{'value': 36, 'element': 16}, {'value': 30, 'element': 8}, {'value': 28, 'element': 15}, {'value': 24, 'element': 24}, {'value': 21, 'element': 13}, {'value': 18, 'element': 597}, {'value': 17, 'element': 17}, {'value': 13, 'element': 20}, {'value': 11, 'element': 23}, {'value': 10, 'element': 18}, {'value': 6, 'element': 578}, {'value': 3, 'element': 7}, {'value': 3, 'element': 9}, {'value': 3, 'element': 21}]}, {'identifier': 'mng_underdog_win', 'a': [], 'h': []}, {'identifier': 'mng_underdog_draw', 'a': [], 'h': []}]",4,5,116187
367,2444833,37,False,False,364,2025-05-19T19:00:00Z,90,False,True,12,2,5,3,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 319}, {'value': 1, 'element': 336}], 'h': [{'value': 1, 'element': 126}, {'value': 1, 'element': 136}, {'value': 1, 'element': 600}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 313}, {'value': 1, 'element': 319}], 'h': [{'value': 1, 'element': 148}, {'value': 1, 'element': 595}, {'value': 1, 'element': 629}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 147}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 9, 'element': 310}], 'h': [{'value': 3, 'element': 146}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 319}], 'h': [{'value': 2, 'element': 600}, {'value': 1, 'element': 595}]}, {'identifier': 'bps', 'a': [{'value': 47, 'element': 319}, {'value': 23, 'element': 336}, {'value': 17, 'element': 310}, {'value': 17, 'element': 313}, {'value': 15, 'element': 323}, {'value': 6, 'element': 321}, {'value': 6, 'element': 333}, {'value': 6, 'element': 337}, {'value': 6, 'element': 636}, {'value': 4, 'element': 324}, {'value': 3, 'element': 320}, {'value': 1, 'element': 326}, {'value': 1, 'element': 327}, {'value': -1, 'element': 328}], 'h': [{'value': 34, 'element': 600}, {'value': 29, 'element': 595}, {'value': 27, 'element': 126}, {'value': 25, 'element': 136}, {'value': 21, 'element': 148}, {'value': 15, 'element': 149}, {'value': 15, 'element': 629}, {'value': 14, 'element': 122}, {'value': 10, 'element': 113}, {'value': 10, 'element': 115}, {'value': 8, 'element': 144}, {'value': 7, 'element': 146}, {'value': 5, 'element': 135}, {'value': 5, 'element': 714}, {'value': 5, 'element': 795}, {'value': 4, 'element': 147}]}, {'identifier': 'mng_underdog_win', 'a': [], 'h': [{'value': 1, 'element': 739}]}, {'identifier': 'mng_underdog_draw', 'a': [], 'h': []}]",5,3,116190
368,2444835,37,False,False,366,2025-05-20T19:00:00Z,90,False,True,20,2,7,4,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 566}, {'value': 1, 'element': 720}], 'h': [{'value': 2, 'element': 11}, {'value': 1, 'element': 160}, {'value': 1, 'element': 199}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 535}, {'value': 1, 'element': 566}], 'h': [{'value': 2, 'element': 730}, {'value': 1, 'element': 585}, {'value': 1, 'element': 645}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 567}, {'value': 1, 'element': 720}], 'h': [{'value': 1, 'element': 215}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 6, 'element': 536}], 'h': [{'value': 1, 'element': 201}]}, {'identifier': 'bonus', 'a': [{'value': 2, 'element': 566}], 'h': [{'value': 3, 'element': 11}, {'value': 1, 'element': 730}]}, {'identifier': 'bps', 'a': [{'value': 47, 'element': 566}, {'value': 26, 'element': 535}, {'value': 18, 'element': 553}, {'value': 9, 'element': 563}, {'value': 8, 'element': 541}, {'value': 7, 'element': 548}, {'value': 7, 'element': 565}, {'value': 6, 'element': 642}, {'value': 6, 'element': 720}, {'value': 5, 'element': 536}, {'value': 4, 'element': 533}, {'value': 4, 'element': 550}, {'value': 3, 'element': 770}, {'value': -1, 'element': 559}, {'value': -4, 'element': 567}], 'h': [{'value': 57, 'element': 11}, {'value': 33, 'element': 730}, {'value': 24, 'element': 199}, {'value': 23, 'element': 160}, {'value': 18, 'element': 585}, {'value': 15, 'element': 645}, {'value': 12, 'element': 206}, {'value': 6, 'element': 194}, {'value': 5, 'element': 208}, {'value': 5, 'element': 650}, {'value': 4, 'element': 205}, {'value': 3, 'element': 203}, {'value': 3, 'element': 207}, {'value': 2, 'element': 201}, {'value': -6, 'element': 215}]}, {'identifier': 'mng_underdog_win', 'a': [], 'h': []}, {'identifier': 'mng_underdog_draw', 'a': [], 'h': []}]",3,3,116192
369,2444838,37,False,False,369,2025-05-20T19:00:00Z,90,False,True,3,1,13,3,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 69}], 'h': [{'value': 1, 'element': 342}, {'value': 1, 'element': 755}, {'value': 1, 'element': 765}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 354}, {'value': 1, 'element': 356}, {'value': 1, 'element': 625}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 83}, {'value': 1, 'element': 580}, {'value': 1, 'element': 592}], 'h': [{'value': 1, 'element': 347}]}, {'identifier': 'red_cards', 'a': [{'value': 1, 'element': 64}], 'h': [{'value': 1, 'element': 354}]}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 152}], 'h': [{'value': 1, 'element': 347}]}, {'identifier': 'bonus', 'a': [{'value': 1, 'element': 69}], 'h': [{'value': 3, 'element': 342}, {'value': 2, 'element': 755}]}, {'identifier': 'bps', 'a': [{'value': 29, 'element': 69}, {'value': 9, 'element': 60}, {'value': 9, 'element': 83}, {'value': 7, 'element': 70}, {'value': 4, 'element': 62}, {'value': 4, 'element': 85}, {'value': 4, 'element': 617}, {'value': 3, 'element': 64}, {'value': 3, 'element': 71}, {'value': 3, 'element': 78}, {'value': 2, 'element': 580}, {'value': 1, 'element': 152}, {'value': -1, 'element': 713}, {'value': -2, 'element': 81}], 'h': [{'value': 39, 'element': 342}, {'value': 38, 'element': 755}, {'value': 27, 'element': 625}, {'value': 24, 'element': 765}, {'value': 18, 'element': 356}, {'value': 15, 'element': 354}, {'value': 12, 'element': 361}, {'value': 11, 'element': 340}, {'value': 10, 'element': 351}, {'value': 8, 'element': 350}, {'value': 5, 'element': 345}, {'value': 5, 'element': 347}, {'value': 3, 'element': 343}, {'value': 3, 'element': 346}, {'value': 3, 'element': 349}, {'value': 3, 'element': 360}]}, {'identifier': 'mng_underdog_win', 'a': [], 'h': []}, {'identifier': 'mng_underdog_draw', 'a': [], 'h': []}]",3,4,116195
