pos_group,date,player_team,npg,key_passes,shots,goals,xG,xA,xA_sum,npxG,npxG_sum,assists,xGChain,xGBuildup,opponent,npxG_share,xA_share,team_XG_avg,team_Rolling_Threat,Team_code,opp_XGC_avg,opp_Rolling_Threat_Against,xA2,Adjusted_XG,Adjusted_XA,Rolling_Adjusted_XG,Rolling_Adjusted_XA,Rolling_XG_Share,Rolling_XA_Share,Rolling_Adjusted_XG2,Rolling_Adjusted_XA2,XGIndex,XAIndex
AMC,2022-08-05,Arsenal,0.0,0.0,2.0,0.0,0.11073599755764,0.0,0.0,0.11073599755764,0.11073599755764,0.0,0.1600960046052932,0.0960644036531448,Crystal Palace,0.07392667329097256,0.0,1.4926435388685388,1.5,3,1.029847725885226,1.5,0.0,0.0875436070120719,0.0,0.0875436070120719,0.0,0.07392667329097256,0.0,0.1069033464405834,0.11358945644665475,0.09722347672632764,0.05679472822332737
AMC,2022-08-13,Arsenal,0.0,1.0,1.0,0.0,0.0459487996995449,0.0708928033709526,0.0708928033709526,0.0459487996995449,0.0459487996995449,0.0,0.8723620176315308,0.7555199861526489,Leicester,0.014952841074378892,0.04455857369177618,1.7066435388685388,1.71,3,1.962411535047555,0.72,0.0354464016854763,0.03425932158372582,0.026428757274821288,0.08246891316175321,0.003303594659352661,0.06831011784177317,0.004243673684931065,0.09653694043373558,0.10162723914672905,0.0895029267977444,0.05246541690304086
AMC,2022-08-20,Arsenal,2.0,0.0,3.0,2.0,0.6651219725608826,0.0,0.0,0.6651219725608826,0.6651219725608826,0.0,1.00872004032135,0.3671750128269195,Bournemouth,0.3601065482818561,0.0,2.1066757105822784,1.8175,3,1.7098051176413511,1.53625,0.0,0.4098032525363732,0.0,0.11364361214981225,0.002890645326933578,0.09610025407416202,0.0038395142863662016,0.10754273554421592,0.08636993673449399,0.11059317384701409,0.04463029103071378
AMC,2022-08-27,Arsenal,1.0,2.0,3.0,1.0,0.1522749960422516,0.1521050035953521,0.1521050035953521,0.1522749960422516,0.1522749960422516,0.0,0.9934239983558656,0.8411499857902527,Fulham,0.06151649437941207,0.09461585827498976,2.176835505286945,1.8365625,3,1.4631382118941556,1.95671875,0.07605250179767604,0.08905342985918982,0.04447700745679893,0.11130169002689583,0.008088940593166748,0.09280656267466203,0.012484880380520827,0.0990074094532017,0.07708109008081412,0.10515454974004876,0.04258501533699044
AMC,2022-08-31,Arsenal,0.0,3.0,3.0,0.0,0.2772920131683349,0.1917099952697754,0.1917099952697754,0.2772920131683349,0.2772920131683349,0.0,0.8224570155143738,0.5998319983482361,Aston Villa,0.09857002721602445,0.11285050018437438,2.141405259584132,2.0857421875,3,1.5239698846943273,1.14283203125,0.0958549976348877,0.2079584625393105,0.0718876021963146,0.12050709693284009,0.016063773293560228,0.0933554640595537,0.02204351083803069,0.10565232464690776,0.07437800532940324,0.11307971078987392,0.04522088931148173
AMC,2022-09-04,Arsenal,0.0,4.0,1.0,0.0,0.1172650009393692,0.371957004070282,0.371957004070282,0.1172650009393692,0.1172650009393692,0.0,0.5070180296897888,0.3736929893493652,Man Utd,0.0824431145926142,0.41853443902678183,2.1231597807571005,2.2825244140625,3,1.4111063513543205,1.973974609375,0.185978502035141,0.06928342470964376,0.10988127267424154,0.11562865195920236,0.02779096071614539,0.09231619268174993,0.05980455161791175,0.09634164466091825,0.07301745179286633,0.10598514831006031,0.050404206254505854
AMC,2022-09-18,Arsenal,1.0,1.0,1.0,1.0,0.0200862009078264,0.0975271016359329,0.0975271016359329,0.0200862009078264,0.0200862009078264,0.0,0.9505689740180968,0.8530420064926147,Brentford,0.015214447740774989,0.11080546416879868,2.028826447423767,2.267208862304688,3,1.5168251218905962,1.5769174194335938,0.04876355081796645,0.012985050074159735,0.03152398764060992,0.10585307082729353,0.028257589081703456,0.08497316935403804,0.06466178138466289,0.08652566523805741,0.06629992140230115,0.09618936803267547,0.0472787552420023
AMC,2022-10-01,Arsenal,0.0,2.0,3.0,0.0,0.1081779971718788,0.3267669975757599,0.3267669975757599,0.1081779971718788,0.1081779971718788,0.0,0.8576729893684387,0.4227280020713806,Spurs,0.04354923778189826,0.23429122542844547,2.092218805106241,2.2163077545166017,3,1.3626923829606152,1.3779144287109375,0.16338349878787994,0.07894455834465273,0.11923162278665503,0.10329035535275631,0.0396293432948224,0.08102803301383425,0.0808169665316898,0.08335591680419632,0.06857037057689615,0.09332313607847631,0.054099856935859274
AMC,2022-10-09,Arsenal,0.0,1.0,2.0,0.0,0.1921000033617019,0.457489013671875,0.457489013671875,0.1921000033617019,0.1921000033617019,1.0,0.649590015411377,0.0,Liverpool,0.09226387203900734,0.30145482091992504,2.1480357551785207,2.281769285202026,3,1.1987372439607566,1.2641416549682618,0.7287445068359375,0.1559963045241376,0.5917826549675924,0.10830996955955453,0.10864850725391866,0.0820981129209936,0.10183009552104552,0.0874904286716469,0.08439646321124086,0.09790019911560072,0.09652248523257975
AMC,2022-10-16,Arsenal,0.0,2.0,4.0,0.0,0.1847919970750808,0.4451079964637756,0.4451079964637756,0.1847919970750808,0.1847919970750808,1.0,0.5880169868469238,0.3768979907035827,Leeds,0.22487437191055268,0.6529973695248724,2.201396866289632,2.317798124551773,3,1.658489370771567,1.6956751441955566,0.7225539982318878,0.11018660310219879,0.43083992750365735,0.1084886965636159,0.148922434785136,0.09569585187238018,0.15432221685474332,0.08474977548244805,0.10736982348690255,0.09661923602303198,0.12814612913601928
AMC,2024-10-19,Arsenal,0.0,1.0,1.0,0.0,0.0784966200590133,0.2791575491428375,0.2791575491428375,0.0784966200590133,0.0784966200590133,0.0,0.3576541543006897,0.0,Bournemouth,0.09462590886229293,0.8385505642602378,2.062494837565268,2.315358307118241,3,1.620647955436112,1.4830349604465598,0.13957877457141876,0.05058288632341764,0.08994396551087323,0.10297385749312084,0.14155012612585313,0.09559395253808615,0.2194868213695523,0.07888196414289181,0.1018107425885765,0.09092791081800633,0.12168043435721482
