,expected_goals,total_points,position,Full_Name,web_name,round,goals_scored,minutes,assists,clean_sheets,goals_conceded,yellow_cards,saves,bonus,defensive_contribution,expected_assists,expected_goal_involvements,expected_goals_conceded,value,team_name,GW,GOALS-XG,Assist-XA,XGI,XGI_delta,GOALSCONCEEDED-XGOALSCONCEEDED,defcon_hit,Type
0,0.0,6.0,GKP,David_Raya Martin,Raya,1.0,0.0,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,60.0,Arsenal,1,0.0,0.0,0.0,0.0,-0.2,0,Players
1,0.05,5.0,DEF,Gabriel_dos Santos Magalhães,Gabriel,1.0,0.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.01,0.06,0.2,80.0,Arsenal,1,-0.05,-0.01,0.060000000000000005,-0.060000000000000005,-0.2,0,Players
2,0.06,3.0,MID,Myles_Lewis-Skelly,Lewis-Skelly,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.11,0.17,0.2,55.0,Arsenal,1,-0.06,-0.11,0.16999999999999998,-0.16999999999999998,-0.2,0,Players
3,0.04,9.0,DEF,Riccardo_Calafiori,Calafiori,1.0,0.0,80.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.09,0.13,0.06,55.0,Arsenal,1,-0.04,0.91,0.13,0.87,-0.06,0,Players
4,0.0,1.0,DEF,Piero_Hincapié,Hincapie,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,55.0,Arsenal,1,0.0,0.0,0.0,0.0,-0.15,0,Players
5,0.18,11.0,DEF,Benjamin_White,White,1.0,0.0,90.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.21,0.39,0.2,55.0,Arsenal,1,-0.18,0.79,0.39,0.61,-0.2,0,Players
6,0.0,6.0,DEF,Cristhian_Mosquera,Mosquera,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.2,55.0,Arsenal,1,0.0,0.0,0.0,0.0,-0.2,0,Players
7,0.64,9.0,MID,Bukayo_Saka,Saka,1.0,1.0,67.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.08,0.72,0.06,95.0,Arsenal,1,0.36,-0.08,0.72,0.28,-0.06,0,Players
8,0.07,3.0,MID,Declan_Rice,Rice,1.0,0.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.08,0.15,0.06,75.0,Arsenal,1,-0.07,-0.08,0.15000000000000002,-0.15000000000000002,-0.06,0,Players
9,0.04,1.0,MID,Eberechi_Eze,Eze,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.04,0.15,65.0,Arsenal,1,-0.04,0.0,0.04,-0.04,-0.15,0,Players
10,0.21,11.0,MID,Martin_Ødegaard,Ødegaard,1.0,1.0,75.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,0.1,0.31,0.06,65.0,Arsenal,1,0.79,-0.1,0.31,0.69,-0.06,0,Players
11,0.0,1.0,MID,Noni_Madueke,Madueke,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04,0.04,0.15,65.0,Arsenal,1,0.0,-0.04,0.04,-0.04,-0.15,0,Players
12,0.14,1.0,MID,Mikel_Merino Zazón,Merino,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.02,0.16,0.15,60.0,Arsenal,1,-0.14,-0.02,0.16,-0.16,-0.15,0,Players
13,0.0,1.0,MID,Martín_Zubimendi Ibáñez,Zubimendi,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.02,0.02,0.15,55.0,Arsenal,1,0.0,-0.02,0.02,-0.02,-0.15,0,Players
14,0.26,6.0,FWD,Kai_Havertz,Havertz,1.0,1.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.03,0.29,0.2,75.0,Arsenal,1,0.74,-0.03,0.29000000000000004,0.71,-0.2,0,Players
15,0.19,6.0,MID,Christos_Tzolis,Tzolis,1.0,0.0,75.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.14,0.33,0.06,65.0,Arsenal,1,-0.19,0.86,0.33,0.6699999999999999,-0.06,0,Players
16,0.0,1.0,GKP,Marco_Bizot,M.Bizot,1.0,0.0,90.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,3.77,45.0,Aston Villa,1,0.0,0.0,0.0,0.0,0.22999999999999998,0,Players
17,0.0,-1.0,DEF,Matty_Cash,Cash,1.0,0.0,90.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,3.77,45.0,Aston Villa,1,0.0,0.0,0.0,0.0,0.22999999999999998,0,Players
18,0.0,1.0,DEF,Tyrone_Mings,Mings,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22,45.0,Aston Villa,1,0.0,0.0,0.0,0.0,-0.22,0,Players
19,0.0,0.0,DEF,Pau_Torres,Pau,1.0,0.0,73.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,3.55,45.0,Aston Villa,1,0.0,0.0,0.0,0.0,0.4500000000000002,0,Players
20,0.0,1.0,MID,Lamare_Bogarde,Bogarde,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22,50.0,Aston Villa,1,0.0,0.0,0.0,0.0,-0.22,0,Players
21,0.03,0.0,DEF,Ian_Maatsen,Maatsen,1.0,0.0,81.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.03,3.62,45.0,Aston Villa,1,-0.03,0.0,0.03,-0.03,0.3799999999999999,0,Players
22,0.0,-2.0,DEF,Victor_Lindelöf,Lindelöf,1.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.77,45.0,Aston Villa,1,0.0,0.0,0.0,0.0,0.22999999999999998,0,Players
23,0.13,2.0,MID,Emiliano_Buendía Stati,Buendía,1.0,0.0,85.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.09,0.22,3.62,60.0,Aston Villa,1,-0.13,-0.09,0.22,-0.22,0.3799999999999999,0,Players
24,0.04,1.0,MID,John_McGinn,McGinn,1.0,0.0,81.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,0.01,0.05,3.62,55.0,Aston Villa,1,-0.04,-0.01,0.05,-0.05,0.3799999999999999,0,Players
25,0.1,2.0,MID,Ross_Barkley,Barkley,1.0,0.0,73.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.02,0.12,3.55,50.0,Aston Villa,1,-0.1,-0.02,0.12000000000000001,-0.12000000000000001,0.4500000000000002,0,Players
26,0.0,2.0,MID,Boubacar_Kamara,Kamara,1.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,3.77,50.0,Aston Villa,1,0.0,0.0,0.0,0.0,0.22999999999999998,0,Players
27,0.0,2.0,MID,George_Hemmings,George Hemmings,1.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,3.77,45.0,Aston Villa,1,0.0,0.0,0.0,0.0,0.22999999999999998,0,Players
28,0.0,1.0,MID,Alysson Edward Franco_da Rocha dos Santos,0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.14,50.0,Aston Villa,1,0.0,0.0,0.0,0.0,-0.14,0,Players
29,0.0,-2.0,MID,Joao_Gomes,Gomes,1.0,0.0,39.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.01,0.01,2.58,55.0,Aston Villa,1,0.0,-0.01,0.01,-0.01,1.42,0,Players
30,0.0,1.0,MID,Alejandro_Garnacho,Garnacho,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,60.0,Aston Villa,1,0.0,0.0,0.0,0.0,-0.14,0,Players
31,0.0,1.0,DEF,Matteo_Ruggeri,Ruggeri,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14,45.0,Aston Villa,1,0.0,0.0,0.0,0.0,-0.14,0,Players
32,0.0,2.0,GKP,Đorđe_Petrović,Petrović,1.0,0.0,90.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.25,45.0,Bournemouth,1,0.0,0.0,0.0,0.0,-0.25,0,Players
33,0.0,1.0,DEF,James_Hill,Hill,1.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.25,55.0,Bournemouth,1,0.0,0.0,0.0,0.0,-0.25,0,Players
34,0.0,1.0,DEF,Adrien_Truffert,Truffert,1.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.25,55.0,Bournemouth,1,0.0,0.0,0.0,0.0,-0.25,0,Players
35,0.0,1.0,DEF,Adam_Smith,Smith,1.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.25,45.0,Bournemouth,1,0.0,0.0,0.0,0.0,-0.25,0,Players
36,0.04,2.0,MID,Rayan Vitor_Simplício Rocha,0,1.0,0.0,88.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03,0.07,2.06,65.0,Bournemouth,1,-0.04,-0.03,0.07,-0.07,-1.06,0,Players
37,0.4,10.0,MID,Marcus_Tavernier,Tavernier,1.0,1.0,90.0,0.0,0.0,2.0,0.0,0.0,3.0,8.0,0.08,0.48,2.25,60.0,Bournemouth,1,0.6,-0.08,0.48000000000000004,0.52,-0.25,0,Players
38,0.0,2.0,MID,Alex_Scott,Scott,1.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.01,0.01,2.25,60.0,Bournemouth,1,0.0,-0.01,0.01,-0.01,-0.25,0,Players
39,0.11,3.0,MID,Justin_Kluivert,Kluivert,1.0,0.0,74.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.11,1.94,60.0,Bournemouth,1,-0.11,0.0,0.11,-0.11,-1.94,0,Players
40,0.0,3.0,MID,Lewis_Cook,Cook,1.0,0.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.94,50.0,Bournemouth,1,0.0,0.0,0.0,0.0,-1.94,0,Players
41,0.0,1.0,MID,Ben_Gannon-Doak,Gannon-Doak,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19,50.0,Bournemouth,1,0.0,0.0,0.0,0.0,0.81,0,Players
42,0.0,1.0,MID,Tyler_Adams,Adams,1.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.31,50.0,Bournemouth,1,0.0,0.0,0.0,0.0,1.69,0,Players
43,0.0,1.0,MID,Alex_Tóth,Tóth.A,1.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.31,50.0,Bournemouth,1,0.0,0.0,0.0,0.0,1.69,0,Players
44,0.0,4.0,FWD,Francisco_Evanilson de Lima Barbosa,Evanilson,1.0,0.0,74.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,0.21,0.21,1.94,60.0,Bournemouth,1,0.0,0.79,0.21,0.79,-1.94,0,Players
45,0.0,2.0,DEF,António João_Pereira de Albuquerque Tavares da Silva,0,1.0,0.0,90.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,0.0,0.0,2.25,50.0,Bournemouth,1,0.0,0.0,0.0,0.0,-0.25,1,Players
46,0.1,1.0,FWD,Daniel_Jebbison,Jebbison,1.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.31,50.0,Bournemouth,1,-0.1,0.0,0.1,-0.1,1.69,0,Players
47,0.0,7.0,GKP,Caoimhín_Kelleher,Kelleher,1.0,0.0,90.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.01,0.01,0.57,50.0,Brentford,1,0.0,-0.01,0.01,-0.01,-0.57,0,Players
48,0.34,6.0,DEF,Nathan_Collins,Collins,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.04,0.38,0.57,55.0,Brentford,1,-0.34,-0.04,0.38,-0.38,-0.57,0,Players
49,0.77,10.0,MID,Keane_Lewis-Potter,Lewis-Potter,1.0,1.0,90.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.12,0.89,0.57,55.0,Brentford,1,0.22999999999999998,-0.12,0.89,0.10999999999999999,-0.57,0,Players
50,0.11,8.0,DEF,Kristoffer_Ajer,Ajer,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.02,0.13,0.57,45.0,Brentford,1,-0.11,-0.02,0.13,-0.13,-0.57,1,Players
51,0.5,13.0,DEF,Michael_Kayode,Kayode,1.0,1.0,75.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.5,0.47,45.0,Brentford,1,0.5,0.0,0.5,0.5,-0.47,0,Players
52,0.0,1.0,DEF,Aaron_Hickey,Hickey,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,45.0,Brentford,1,0.0,0.0,0.0,0.0,-0.1,0,Players
53,0.52,3.0,MID,Kevin_Schade,Schade,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.01,0.53,0.57,60.0,Brentford,1,-0.52,-0.01,0.53,-0.53,-0.57,0,Players
54,0.05,3.0,MID,Dango_Ouattara,O.Dango,1.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.29,0.34,0.47,65.0,Brentford,1,-0.05,-0.29,0.33999999999999997,-0.33999999999999997,-0.47,0,Players
55,0.0,1.0,MID,Mikkel_Damsgaard,Damsgaard,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.11,0.11,0.1,55.0,Brentford,1,0.0,-0.11,0.11,-0.11,-0.1,0,Players
56,0.08,6.0,MID,Mathias_Jensen,Jensen,1.0,0.0,66.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.34,0.42,0.47,55.0,Brentford,1,-0.08,0.6599999999999999,0.42000000000000004,0.58,-0.47,0,Players
57,0.39,9.0,MID,Vitaly_Janelt,Janelt,1.0,1.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,0.17,0.56,0.57,50.0,Brentford,1,0.61,-0.17,0.56,0.43999999999999995,-0.57,1,Players
58,0.04,1.0,MID,Yehor_Yarmoliuk,Yarmoliuk,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.04,0.1,50.0,Brentford,1,-0.04,0.0,0.04,-0.04,-0.1,0,Players
59,0.03,1.0,MID,Jaidon_Anthony,Anthony,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.35,0.38,0.1,60.0,Brentford,1,-0.03,-0.35,0.38,-0.38,-0.1,0,Players
60,1.0,0.0,FWD,Igor_Thiago Nascimento Rodrigues,Thiago,1.0,0.0,82.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.08,1.08,0.5,80.0,Brentford,1,-1.0,-0.08,1.08,-1.08,-0.5,0,Players
61,0.03,1.0,FWD,Callum_Wilson,Wilson,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.07,55.0,Brentford,1,-0.03,-0.04,0.07,-0.07,-0.07,0,Players
62,0.05,14.0,MID,Mamadou_Sangaré,M.Sangaré,1.0,0.0,75.0,2.0,1.0,0.0,0.0,0.0,3.0,13.0,0.33,0.38,0.47,55.0,Brentford,1,-0.05,1.67,0.38,1.62,-0.47,1,Players
63,0.0,6.0,GKP,Bart_Verbruggen,Verbruggen,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,45.0,Brighton,1,0.0,0.0,0.0,0.0,-0.29,0,Players
