Unnamed: 0,name,code,id,kickoff_time,XG,Round_XG,Round_XA,XGC,was_home,opponent,Clean_Sheet,Result,Threat,saves,ict_index,red_cards,defensive_contribution,Threat_against,Defcon_against,Saves_against,ICT_against,Plain_XG,Plain_XGC,Plain_GS,Plain_GC,XG_DEF,XG_MID,XG_FORWARD,Plain_GS_capped,Plain_GS_roll8,Plain_GS_roll18,Plain_GS_roll30,Plain_GC_capped,Plain_GC_roll8,Plain_GC_roll18,Plain_GC_roll30,Plain_XGC_capped,Plain_XGC_roll8,Plain_XGC_roll18,Plain_XGC_roll30,Plain_XG_capped,Plain_XG_roll8,Plain_XG_roll18,Plain_XG_roll30,Threat_capped,Threat_roll8,Threat_roll18,Threat_roll30,Threat_against_capped,Threat_against_roll8,Threat_against_roll18,Threat_against_roll30,Offensive_Index,Defensive_Index,XGA,XGCA,XGH,XGCH,XG_avg,XGC_avg,Rolling_Threat,Rolling_Saves,Rolling_ict_index,Rolling_Defcon_for,Rolling_Threat_Against,Rolling_Defcon_against,Rolling_ICT_Against,Rolling_Saves_Against,XG_slope,XGC_slope,Rolling_XG,Rolling_XGC,XG_neutral_slope,XGC_neutral_slope,Elo_Rating,XG_pred_rolling_error,XGC_pred_rolling_error,cluster,XG_vs_cluster_0,XG_vs_cluster_1,XG_vs_cluster_2,XG_vs_cluster_3,XGC_vs_cluster_0,XGC_vs_cluster_1,XGC_vs_cluster_2,XGC_vs_cluster_3,kickoff_date,roll10_deep,roll10_deep_allowed,roll10_xpts,roll10_ppda,roll10_ppda_allowed,Understat_OffIndex,Understat_defIndex,Understat_HA_Off_effect,Understat_HA_DEF_effect
0,Sheffield Utd,49,17,2024-05-19 15:00:00+00:00,0.492,0.71,0.3,3.0492000000000004,True,6.0,0,0.0,33.0,6.0,25.7,0.0,0.0,235.0,0.0,1.0,77.3,0.71,3.28,0.0,3.0,0.2628597070113216,1.4079440192494517,0.3850078713026281,0.4,1.025,1.2333333333333334,1.086666666666667,3.0,2.875,2.7777777777777777,2.5133333333333336,3.28,2.0425,2.0955555555555554,1.967666666666667,0.71,1.3125,1.2355555555555555,1.1106666666666667,40.0,123.0,119.94444444444444,103.06666666666666,235.0,187.25,205.72222222222223,191.2,1.1539833333333331,2.199533333333333,0.7886773363199779,1.9947421775789853,0.9909401778833682,2.1099141387423592,1.021896045217503,2.1259307457470027,1.173,4.401852771362943,43.74,76.66257208452261,2.012,75.37318072210601,72.91,2.6753362222586565,0.0011739076521706,0.0240101641920458,1.0269009021916395,2.1721641457269287,0.0034659723880491,0.0197056879478022,737.7981899095164,-0.0256373270720109,-0.0049801680834837,3,1.0487507747105966,1.376935978571427,0.8562383092783499,1.892767045454545,2.435044338379341,1.6894258342857147,2.1120201690721645,1.3155729870129875,2024-05-19,0.1110379047925723,0.4162765566638378,0.2563071513779626,0.4029458821717088,0.1059771965042928,1.1562851793855318,1.9806583164441585,0.4537511165574477,-0.0507110146834199
1,Luton,102,12,2024-05-19 15:00:00+00:00,1.934,2.1,0.28,1.6064000000000005,True,54.0,0,0.0,137.0,3.0,41.9,0.0,0.0,144.0,0.0,4.0,69.7,2.1,1.06,2.0,4.0,0.1235221269018737,0.8746859578240875,0.6054733831372674,2.0,1.1749999999999998,1.5777777777777775,1.4733333333333332,4.0,2.625,2.522222222222222,2.293333333333333,1.06,1.9125,2.12,2.154333333333333,2.1,0.8725,1.2894444444444444,1.1583333333333334,137.0,107.0,130.5,120.5,144.0,174.875,178.61111111111111,186.3333333333333,1.2453500000000002,2.139783333333333,0.9607874709114964,2.145785684656792,1.228105486333071,1.809046148780861,1.169898239311142,2.05859962502608,1.3544999999999998,3.928108105192508,50.515,76.66257208452261,1.7919999999999998,75.37318072210601,64.14500000000001,2.7074765717166898,-0.0231877224951455,0.015497172800527,1.192222380462861,2.0729897501130994,-0.0165518207814385,0.0018582826515231,800.1434155152931,0.0119743605267821,0.0410328407396261,3,1.3395015494211933,1.3401453261904754,0.8774902577319582,1.699103219696969,2.1044386767586825,1.5636752780952383,2.3630084742268034,1.3029351515151522,2024-05-19,0.1123050407685929,0.3575696696750711,0.2876155884917786,0.1714020676913822,0.1026048771931254,1.1825905025274617,2.3490346500589285,0.4443835524545735,-0.9021975510360136
2,Leicester,13,11,2025-05-25 15:00:00+00:00,0.226,0.28,0.43,1.9156,False,91.0,0,0.0,29.0,5.0,23.1,0.0,0.0,225.0,0.0,0.0,64.5,0.28,1.79,0.0,2.0,0.1128215430934002,1.0125964908352414,0.9118827649558184,0.4,1.2,0.8444444444444446,0.9266666666666666,2.0,1.725,2.0444444444444443,2.2266666666666666,1.79,2.1,1.8522222222222224,1.8716666666666668,0.4,0.9075,0.8155555555555556,0.8753333333333333,40.0,93.75,88.0,90.23333333333332,225.0,178.375,170.77777777777777,174.0,0.8994500000000001,1.9250666666666665,0.979519119677153,1.8723448731489567,0.8475053251322435,1.6951839082186249,0.9064811112023492,1.8544155286752289,0.862,3.214529382367872,38.185,76.66257208452261,1.6755000000000002,75.37318072210601,60.035,2.107357300039391,-0.0049780493774945,-0.0118881714649923,0.9181390234551392,1.8664823894005849,-0.0044463995142531,-0.0088689148154546,782.061435662224,0.1698598114660735,-0.0058769030731123,3,0.895751162065895,1.0329359785714267,0.7144902577319583,1.705017045454545,2.0934665075690115,1.5655258342857146,1.994258474226804,1.0037229870129876,2025-05-25,0.0868274191537173,0.3470222794680939,0.203278314994574,0.2073574579609333,0.1674485978378032,0.8632399632127188,2.037035848507123,0.2469677261440883,-0.0250552224376208
3,Southampton,20,17,2025-05-25 15:00:00+00:00,0.76,0.6300000000000001,0.51,2.1780000000000004,True,3.0,0,0.0,91.0,6.0,43.5,0.0,0.0,225.0,0.0,1.0,82.3,0.6300000000000001,2.2,1.0,2.0,0.4315903937133677,1.4125765794001452,0.3659249489926699,1.0,0.7,0.8777777777777778,0.8200000000000001,2.0,1.9250000000000005,2.355555555555556,2.2066666666666666,2.2,2.07875,2.195555555555556,2.2576666666666667,0.6300000000000001,0.6975,0.7844444444444445,0.8049999999999999,91.0,84.25,90.11111111111111,90.23333333333332,225.0,196.125,180.0,190.13333333333333,0.8106666666666666,2.136708333333333,0.7767705469655538,1.9452564631277345,0.7953926931103128,1.9980966450645807,0.7983741433523,2.0541924437147454,0.8625,4.15447225795851,38.975,76.66257208452261,1.8415,75.37318072210601,64.64500000000001,2.1459702403235035,-0.0102928804334428,0.0024785790457044,0.8217962506979097,2.0952151437919126,-0.0092915242913219,0.0010301000147489,698.813302601194,0.153111045124945,-0.1357093525005627,3,0.8202507747105967,1.2223313047619024,0.8247402577319582,1.604017045454545,2.1635443383793413,1.4288011123809528,2.189508474226804,1.1789729870129877,2025-05-25,0.0617609143525897,0.4135563725422972,0.15083152771904,0.2447820811879809,0.1612711932014417,0.8524668610359176,2.204817415889757,0.0540904560807578,0.0325399048085635
4,Ipswich,40,10,2025-05-25 15:00:00+00:00,0.952,0.8,0.56,1.3584,1.0,21.0,0,0.0,136.0,3.0,46.0,0.0,0.0,116.0,0.0,3.0,62.4,0.8,1.01,1.0,3.0,0.2239740934352404,1.1070615731003832,0.4017879063542539,1.0,0.9499999999999998,1.0444444444444445,1.1133333333333333,3.0,2.375,2.5,2.146666666666667,1.01,1.76875,1.8077777777777777,1.903,0.8,0.83125,0.9077777777777778,0.997,136.0,93.625,95.05555555555556,99.03333333333332,116.0,189.25,176.88888888888889,173.13333333333333,0.9800583333333334,1.9682583333333328,0.9681840754931648,1.858546616656337,0.8045651507227848,1.7715090999717222,0.933216473220654,1.8916430958236807,0.9195,3.3199530536518687,39.620000000000005,76.66257208452261,1.724,75.37318072210601,62.145,2.41022636018964,0.0179882568613103,-0.0208613188103968,0.9217906489473005,1.9080601172277527,0.0167114900837516,-0.0164750363911937,827.1590193680249,-0.0285697316528081,0.0009103232072914,3,1.0635007747105965,1.2458953261904755,0.9167363608247416,1.762853219696969,2.0827443383793414,1.495075278095238,2.0964818639175253,1.048235151515152,2025-05-25,0.1142167971967386,0.3663038788694159,0.2716854809252435,0.2263458937926587,0.1297731434580697,1.376882213924738,1.6248620795365245,0.3373574776188499,-0.3397161547514722
5,West Ham,21,19,2026-05-24 15:00:00+00:00,2.632,2.62,0.9,1.2536000000000005,True,2.0,1,2.0,230.0,3.0,67.7,0.0,64.0,118.0,81.0,5.0,46.3,2.62,1.59,3.0,0.0,0.3408526289540988,0.4965583808084289,0.4660585226948027,3.0,1.45,1.4666666666666666,1.4,0.4,1.4,1.411111111111111,1.6133333333333335,1.59,1.4025,1.3738888888888887,1.522333333333333,2.62,1.33875,1.4377777777777778,1.3290000000000002,230.0,146.625,132.94444444444446,121.46666666666668,118.0,134.0,147.11111111111111,155.53333333333333,1.370675,1.4773166666666668,1.0914911930347728,1.588065579604389,1.2042846011709794,1.4469689179848142,1.259281448551438,1.4974169577306342,1.2865,3.4402089694294657,48.510000000000005,81.56125524055821,1.4825,69.5740042020864,54.145,2.683081385165221,0.0076736994366017,0.0021473955056945,1.264375821914896,1.575540285431694,0.0054487128525189,0.0015168342920937,946.1509306476496,-0.0687474304194014,0.0797103939160571,1,1.1732503873552982,1.7000813047619023,1.0612402577319582,1.773353219696969,1.5121221691896705,1.1328011123809527,1.936808474226804,1.0704351515151522,2026-05-24,0.1730591468469894,0.3256446832279395,0.4336320797505937,0.1736713617125476,0.113449597989543,1.3183290301675954,1.498487871826919,0.2569144964518846,-0.602357219616235
6,Wolves,39,20,2026-05-24 15:00:00+00:00,1.764,2.1,1.11,1.1652,False,90.0,0,1.0,152.0,7.0,54.0,0.0,80.0,189.0,58.0,3.0,65.2,2.1,0.98,1.0,1.0,0.424789540724251,0.751237533910286,0.6100203064357699,1.0,0.825,0.9222222222222224,0.9333333333333332,1.0,2.0,1.6222222222222222,1.7866666666666664,0.98,1.6875,1.681111111111111,1.6196666666666666,2.1,1.12125,0.9377777777777776,0.9963333333333334,152.0,114.625,102.33333333333331,98.46666666666668,189.0,163.375,156.33333333333334,153.36666666666667,0.9800916666666668,1.67235,0.8414113664222571,1.5548218126179922,0.9713387417420144,1.4646442258788537,0.9432333603744012,1.5910415096242114,1.0475,3.0457925634989884,41.535,76.9164218890913,1.5075,73.34343114330694,56.15999999999999,2.689170977541008,0.0035196678609408,-0.0047108787390287,1.0155460925129938,1.5957299116326584,0.0042977304694462,0.0001657553110493,848.4636292327511,0.0377676373905111,0.0139462975676177,1,1.1570007747105966,0.9862906523809511,0.95448830927835,1.845103219696969,1.8002443383793412,1.6468005561904764,1.9407201690721645,1.0711351515151522,2026-05-24,0.1021903082101279,0.3231995027466146,0.3753543541146839,0.2086921578164125,0.0923916093459902,0.939858821785535,1.8017997360157336,0.3304070746441756,-0.4413919732296871
7,Burnley,90,3,2026-05-24 15:00:00+00:00,1.166,0.98,1.0,1.8016,True,39.0,0,1.0,189.0,3.0,65.2,0.0,58.0,152.0,80.0,7.0,54.0,0.98,2.09,1.0,1.0,0.4388938144389285,0.8847928562919193,0.821179195675287,1.0,0.9,0.9888888888888888,1.0266666666666666,1.0,2.1250000000000004,2.0222222222222226,2.0266666666666664,2.09,2.03375,2.023888888888889,1.9926666666666668,0.98,0.8612500000000001,0.8583333333333333,0.937,189.0,102.75,94.77777777777776,97.26666666666668,152.0,194.875,188.0555555555556,174.76666666666668,0.9413583333333332,1.984175,0.8170797043772293,1.8897625228698776,0.8993716301520727,1.8186108911814007,0.8997920002989921,1.91918085351282,0.9235,3.635019239539055,41.91,80.02816879564928,1.8615,79.18076093286732,64.25999999999999,2.298634286840539,0.0049998900536698,-0.0113710193478976,0.9083037493522524,1.9407580043667545,0.0056420883371919,-0.0065479065415077,760.9743031641248,0.1026272379037656,0.028417101763529,3,1.129001162065895,0.8955,0.8539883092783499,1.8566893939393927,1.830266507569012,1.7792500000000002,2.0321701690721645,1.0576973160173166,2026-05-24,0.1523368462525806,0.3808580877620572,0.1947793500280713,0.1755702480076454,0.1652689321342916,0.9620689966155886,1.9811591060753364,0.3599635196797751,-0.1671505155078869
8,Aston Villa,7,2,2026-09-12 14:00:00+00:00,0.6228,0.82,0.55,1.7792,1.0,17.0,0,0.0,0.0,5.0,0.0,0.0,57.0,0.0,87.0,5.0,0.0,0.82,2.28,1.0,2.0,0.307242951062693,0.7023912392215224,0.5134750420480155,1.0,1.26,1.1400000000000001,1.2899999999999998,2.0,1.7999999999999998,1.7333333333333334,1.5799999999999998,2.28,1.65125,1.5377777777777777,1.5106666666666666,0.82,1.0575,1.0690000000000002,1.2753,40.0,87.075,105.3,124.11000000000001,40.0,129.875,132.11111111111111,133.26666666666668,1.178745,1.5389416666666669,1.0287611179327611,1.465146104151222,1.2173632307356197,1.2377705225356916,1.1509035871670952,1.4451999900050618,1.1065500000000001,3.122325697642018,44.41,64.78783362674423,1.243,75.1654933570054,45.620000000000005,2.853346253662565,-0.0148203704276865,0.0017461655045838,1.135500314882798,1.4479458495065418,-0.0100234957723909,-0.0051926098162625,981.7190829733652,0.0956438899926373,-0.061764155899296,1,1.2832515494211931,1.19375,1.02823830927835,1.834853219696969,2.0496386767586823,1.16625,1.7994201690721645,1.1406851515151522,2026-09-12,0.10279511747706475,0.3663038788694159,0.2445169328327192,0.2263458937926587,0.1297731434580697,1.5311747308565224,1.5669383254841032,0.2690854500583806,-0.4840117348673811
9,Chelsea,8,6,2026-09-12 14:00:00+00:00,1.0406,0.91,1.06,1.2032,1.0,88.0,0,1.0,0.0,3.0,0.0,0.0,59.0,0.0,74.0,5.0,0.0,0.91,1.38,2.0,2.0,0.1887313594030734,0.7459676975214654,0.5363813821198551,2.0,2.0625,1.6744444444444442,1.716,2.0,2.0,1.8888888888888888,1.7066666666666668,1.38,1.5425,1.39,1.4920000000000002,0.91,1.475375,1.793,1.8766,40.0,122.65,133.22222222222223,139.73666666666665,40.0,114.625,115.11111111111111,130.23333333333332,1.6862175000000001,1.5269,1.6015050270608195,1.3837264453822458,1.7494776768066247,1.3399532014522784,1.6808544259668612,1.444369911708631,1.31395,3.375098791580693,46.66,68.59425670783034,1.1655,70.72295383777853,43.38,2.962067663644898,0.0179524645203226,0.0105469036346521,1.7626957312000722,1.3946788552255724,0.0086030877023843,0.0115306042522774,1035.8967019859217,0.0494967736926813,-0.0677015493386587,0,1.5672507747105966,1.3487906523809512,0.8887402577319582,1.8566893939393927,1.290394338379341,1.5226005561904763,1.896158474226804,1.0576973160173166,2026-09-12,0.12563847691641247,0.3663038788694159,0.2988540290177679,0.2263458937926587,0.1297731434580697,1.664199792264062,1.6467618044252863,0.3292531589171845,-0.0501062918313033
