,name,code,id,kickoff_time,XG,Round_XG,Round_XA,XGC,was_home,opponent,Clean_Sheet,Result,Threat,saves,ict_index,red_cards,defensive_contribution,Threat_against,Defcon_against,Saves_against,ICT_against,Plain_XG,Plain_XGC,Plain_GS,Plain_GC,XG_DEF,XG_MID,XG_FORWARD,Plain_GS_capped,Plain_GS_roll8,Plain_GS_roll18,Plain_GS_roll30,Plain_GC_capped,Plain_GC_roll8,Plain_GC_roll18,Plain_GC_roll30,Plain_XGC_capped,Plain_XGC_roll8,Plain_XGC_roll18,Plain_XGC_roll30,Plain_XG_capped,Plain_XG_roll8,Plain_XG_roll18,Plain_XG_roll30,Threat_capped,Threat_roll8,Threat_roll18,Threat_roll30,Threat_against_capped,Threat_against_roll8,Threat_against_roll18,Threat_against_roll30,Offensive_Index,Defensive_Index,XGA,XGCA,XGH,XGCH,XG_avg,XGC_avg,Rolling_Threat,Rolling_Saves,Rolling_ict_index,Rolling_Defcon_for,Rolling_Threat_Against,Rolling_Defcon_against,Rolling_ICT_Against,Rolling_Saves_Against,XG_slope,XGC_slope,Rolling_XG,Rolling_XGC,XG_neutral_slope,XGC_neutral_slope,Elo_Rating,XG_pred,XG_pred_rolling_error,XGC_pred,XGC_pred_rolling_error,cluster,XG_vs_cluster_0,XG_vs_cluster_1,XG_vs_cluster_2,XG_vs_cluster_3,XGC_vs_cluster_0,XGC_vs_cluster_1,XGC_vs_cluster_2,XGC_vs_cluster_3,kickoff_date,roll10_deep,roll10_deep_allowed,roll10_xpts,roll10_ppda,roll10_ppda_allowed
0,Arsenal,3,1,2022-08-05 19:00:00+00:00,1.0,1.0,2.0,0.36,False,31.0,1,2,171.0,2.0,51.5,0.0,0.0,180.0,0.0,1.0,46.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,171.0,171.0,171.0,171.0,180.0,180.0,180.0,180.0,0.8420000000000001,0.6799999999999999,1.7077544807401694,1.153713471202384,1.7077544807401694,1.153713471202384,1.2748772403700848,0.916856735601192,1.5,2.0,60.0,77.0,1.5,76.70895388748566,46.3,1.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,1.9090991381821287,0.0,1.9090991381821287,0.0,0,1.4378634267515924,1.4378634267515924,1.4378634267515924,1.4378634267515924,1.464450777070064,1.464450777070064,1.464450777070064,1.464450777070064,2022-08-05,0.5,0.2827586206896552,0.5308628676074544,0.1606063008875897,0.13803151902446115
1,Crystal Palace,31,7,2022-08-05 19:00:00+00:00,0.0,0.0,0.0,1.942,True,3.0,0,0,180.0,1.0,46.3,0.0,0.0,171.0,0.0,2.0,51.5,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.4,0.4,0.4,0.4,2.0,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,180.0,180.0,180.0,180.0,171.0,171.0,171.0,171.0,0.6799999999999999,1.142,1.364535960943733,1.41286795235156,1.364535960943733,1.41286795235156,1.0222679804718666,1.27743397617578,1.5,1.0,60.0,77.0,1.5,76.70895388748566,51.5,2.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,1.278762095397122,0.0,1.278762095397122,0.0,2,1.0,1.0,1.0,1.0,0.36,0.36,0.36,0.36,2022-08-05,0.2727272727272727,0.5068965517241378,0.384358504793709,0.10471465062988192,0.19524893109821073
2,Liverpool,14,12,2022-08-06 11:30:00+00:00,2.0,2.0,2.0,1.898,False,54.0,0,1,210.0,1.0,56.6,0.0,0.0,149.0,0.0,1.0,48.5,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,210.0,210.0,210.0,210.0,149.0,149.0,149.0,149.0,1.22,1.098,1.7474178393319395,1.3189338670794857,1.7474178393319395,1.3189338670794857,1.4837089196659698,1.2084669335397429,1.5,1.0,60.0,77.0,1.5,76.70895388748566,48.5,1.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,1.981942771959485,0.0,1.981942771959485,0.0,2,0.0,0.5,1.0,0.5,1.942,1.151,0.36,1.151,2022-08-06,0.40909090909090906,0.10344827586206896,0.7633667277101512,0.014575665655441439,0.33178243065190266
3,Fulham,54,9,2022-08-06 11:30:00+00:00,2.0,2.0,1.0,2.02,True,14.0,0,1,149.0,1.0,48.5,0.0,0.0,210.0,0.0,1.0,56.6,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,149.0,149.0,149.0,149.0,210.0,210.0,210.0,210.0,1.098,1.22,1.3873113467444984,1.4930307181155125,1.3873113467444984,1.4930307181155125,1.2426556733722491,1.3565153590577563,1.5,1.0,60.0,77.0,1.5,76.70895388748566,56.6,1.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,1.32059016849311,0.0,1.32059016849311,0.0,2,0.0,1.0,1.5,1.0,1.942,1.4,1.129,1.4,2022-08-06,0.09090909090909091,0.41724137931034483,0.1798269237674602,0.2939762372223521,0.045754418180031634
4,Leeds,2,11,2022-08-06 14:00:00+00:00,1.0,1.0,2.0,1.156,True,39.0,0,1,148.0,5.0,50.9,0.0,0.0,178.0,0.0,3.0,62.8,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,148.0,148.0,148.0,148.0,178.0,178.0,178.0,178.0,0.796,0.856,1.3709644777032353,1.5326225696407574,1.3709644777032353,1.5326225696407574,1.0834822388516177,1.1943112848203787,1.5,5.0,60.0,77.0,1.5,76.70895388748566,62.8,3.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,1.29056837043753,0.0,1.29056837043753,0.0,2,0.0,1.25,1.6666666666666667,1.25,1.942,1.5550000000000002,1.4260000000000002,1.5550000000000002,2022-08-06,0.13636363636363638,0.3275862068965517,0.3863693489891917,0.08252237773343915,0.14738626892233192
5,Newcastle,4,15,2022-08-06 14:00:00+00:00,2.0,2.0,1.0,0.092,True,17.0,1,2,324.0,0.0,88.4,0.0,0.0,46.0,0.0,7.0,26.7,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,324.0,324.0,324.0,324.0,46.0,46.0,46.0,46.0,1.448,0.412,1.6207271152055265,1.3593023730572844,1.6207271152055265,1.3593023730572844,1.5343635576027632,0.8856511865286422,1.5,0.0,60.0,77.0,1.5,76.70895388748566,26.7,7.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,1.7492692657585425,0.0,1.7492692657585425,0.0,2,0.0,1.2,1.6666666666666667,1.0,1.942,1.4752,1.4260000000000002,1.156,2022-08-06,0.9999999999999999,0.013793103448275862,0.8964056160005747,0.008745399393264852,0.2106751941573099
6,Spurs,6,18,2022-08-06 14:00:00+00:00,3.0,3.0,4.0,1.036,True,20.0,0,2,260.0,1.0,79.9,0.0,0.0,118.0,0.0,5.0,45.6,0.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,260.0,260.0,260.0,260.0,118.0,118.0,118.0,118.0,1.62,0.736,1.5179403007774337,1.494865626103583,1.5179403007774337,1.494865626103583,1.5689701503887168,1.1154328130517916,1.5,1.0,60.0,77.0,1.5,76.70895388748566,45.6,5.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,1.5604964201605758,0.0,1.5604964201605758,0.0,2,0.0,1.3333333333333333,1.6666666666666667,1.5,1.942,1.2446666666666666,1.4260000000000002,0.624,2022-08-06,0.4545454545454545,0.23793103448275865,0.8048762971740456,0.0,0.26279301513714237
7,Aston Villa,7,2,2022-08-06 14:00:00+00:00,0.0,0.0,0.0,1.782,False,91.0,0,0,141.0,1.0,41.8,0.0,0.0,91.0,0.0,2.0,42.7,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.4,0.4,0.4,0.4,2.0,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,141.0,141.0,141.0,141.0,91.0,91.0,91.0,91.0,0.6020000000000001,0.982,1.4262210451719106,1.434849111593912,1.4262210451719106,1.434849111593912,1.0141105225859557,1.208424555796956,1.5,1.0,60.0,77.0,1.5,76.70895388748566,42.7,2.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,1.3920496697372091,0.0,1.3920496697372091,0.0,2,0.0,3.0,1.6666666666666667,1.5,1.942,1.036,1.4260000000000002,0.624,2022-08-06,0.40909090909090906,0.058620689655172406,0.386620704513627,0.0209129115925899,0.17172247754553366
8,Nott'm Forest,17,16,2022-08-06 14:00:00+00:00,0.0,0.0,0.0,2.248,False,4.0,0,0,46.0,7.0,26.7,0.0,0.0,324.0,0.0,0.0,88.4,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.4,0.4,0.4,0.4,2.0,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,46.0,46.0,46.0,46.0,324.0,324.0,324.0,324.0,0.412,1.448,1.276763230705172,1.5120639427764722,1.276763230705172,1.5120639427764722,0.8443816153525859,1.480031971388236,1.5,7.0,60.0,77.0,1.5,76.70895388748566,88.4,0.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,1.1175633254456785,0.0,1.1175633254456785,0.0,3,0.0,3.0,1.25,1.5,1.942,1.036,1.515,0.624,2022-08-06,0.0,0.9999999999999999,0.0625157097202772,0.1756751281629521,0.03978585676371109
9,Southampton,20,17,2022-08-06 14:00:00+00:00,1.0,1.0,1.0,3.72,False,6.0,0,0,118.0,5.0,45.6,0.0,0.0,260.0,0.0,1.0,79.9,0.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,118.0,118.0,118.0,118.0,260.0,260.0,260.0,260.0,0.736,1.92,1.1821729485968868,1.7325740912232814,1.1821729485968868,1.7325740912232814,0.9590864742984434,1.826287045611641,1.5,5.0,60.0,77.0,1.5,76.70895388748566,79.9,1.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,0.9438437990760088,0.0,0.9438437990760088,0.0,1,0.0,3.0,1.0,1.5,1.942,1.036,1.6616,0.624,2022-08-06,0.22727272727272727,0.46206896551724136,0.135588351466839,0.22658534791640778,0.030833014639230286
10,Wolves,39,20,2022-08-06 14:00:00+00:00,1.0,1.0,1.0,1.896,False,2.0,0,0,178.0,3.0,62.8,0.0,0.0,148.0,0.0,5.0,50.9,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,178.0,178.0,178.0,178.0,148.0,148.0,148.0,148.0,0.856,1.096,1.2130816862291456,1.554507220525554,1.2130816862291456,1.554507220525554,1.0345408431145728,1.3252536102627772,1.5,3.0,60.0,77.0,1.5,76.70895388748566,50.9,5.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,1.0006091574456302,0.0,1.0006091574456302,0.0,3,0.0,3.0,1.0,1.5,1.942,1.036,2.0046666666666666,0.624,2022-08-06,0.31818181818181823,0.14827586206896554,0.5197314086681748,0.11385264535194659,0.11531284070106058
11,Bournemouth,91,3,2022-08-06 14:00:00+00:00,2.0,2.0,1.0,0.282,True,7.0,1,2,91.0,2.0,42.7,0.0,0.0,141.0,0.0,1.0,41.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,91.0,91.0,91.0,91.0,141.0,141.0,141.0,141.0,0.982,0.6020000000000001,1.4347756260584883,1.5469727962067223,1.4347756260584883,1.5469727962067223,1.208387813029244,1.0744863981033612,1.5,2.0,60.0,77.0,1.5,76.70895388748566,41.8,1.0,-0.0014199107755291944,-0.0004752344248444542,1.5,1.5,-0.0014366687136999519,-0.0006825985141643858,1000.0,1.4077605620908875,0.0,1.4077605620908875,0.0,2,0.0,3.0,1.0,1.5,1.942,1.036,1.989142857142857,0.624,2022-08-06,0.04545454545454544,0.41724137931034483,0.4752773887751804,0.13762496939927338,0.05224198493690181
