,player_team,player_name,pos_latest,appearances_last5,n_dates,appear_pct_last5
0,Arsenal,Bukayo Saka,RW,4,5,80.0
1,Arsenal,David Raya,GK,5,5,100.0
2,Arsenal,Declan Rice,MC,5,5,100.0
3,Arsenal,Eberechi Eze,MC,4,5,80.0
4,Arsenal,Gabriel,CB,5,5,100.0
5,Arsenal,Jurriën Timber,DR,5,5,100.0
6,Arsenal,Leandro Trossard,LW,5,5,100.0
7,Arsenal,Martín Zubimendi,MC,4,5,80.0
8,Arsenal,Riccardo Calafiori,DL,5,5,100.0
9,Arsenal,Viktor Gyokeres,FW,5,5,100.0
10,Arsenal,William Saliba,CB,4,5,80.0
11,Aston Villa,Amadou Onana,DM,2,5,40.0
12,Aston Villa,Boubacar Kamara,DM,4,5,80.0
13,Aston Villa,Emiliano Buendía,LW,2,5,40.0
14,Aston Villa,Emiliano Martinez,GK,5,5,100.0
15,Aston Villa,Ezri Konsa Ngoyo,CB,5,5,100.0
16,Aston Villa,John McGinn,RW,5,5,100.0
17,Aston Villa,Lucas Digne,DL,5,5,100.0
18,Aston Villa,Matthew Cash,DR,5,5,100.0
19,Aston Villa,Morgan Rogers,AMC,5,5,100.0
20,Aston Villa,Ollie Watkins,FW,4,5,80.0
21,Aston Villa,Pau Torres,CB,3,5,60.0
22,Bournemouth,Adrien Truffert,DL,5,5,100.0
23,Bournemouth,Alejandro Jiménez,DR,4,5,80.0
24,Bournemouth,Alex Scott,DM,4,5,80.0
25,Bournemouth,Antoine Semenyo,LW,5,5,100.0
26,Bournemouth,Djordje Petrovic,GK,5,5,100.0
27,Bournemouth,Eli Junior Kroupi,FW,2,5,40.0
28,Bournemouth,Justin Kluivert,AMC,3,5,60.0
29,Bournemouth,Marcos Senesi,CB,5,5,100.0
30,Bournemouth,Marcus Tavernier,RW,4,5,80.0
31,Bournemouth,Tyler Adams,DM,5,5,100.0
32,Bournemouth,Veljko Milosavljevic,CB,1,5,20.0
33,Brentford,Caoimhin Kelleher,GK,5,5,100.0
34,Brentford,Dango Ouattara,RW,3,5,60.0
35,Brentford,Jordan Henderson,DM,5,5,100.0
36,Brentford,Kevin Schade,LW,5,5,100.0
37,Brentford,Kristoffer Ajer,DL,3,5,60.0
38,Brentford,Michael Kayode,DR,5,5,100.0
39,Brentford,Mikkel Damsgaard,AMC,5,5,100.0
40,Brentford,Nathan Collins,CB,5,5,100.0
41,Brentford,Sepp van den Berg,CB,5,5,100.0
42,Brentford,Thiago,FW,5,5,100.0
43,Brentford,Yehor Yarmolyuk,DM,5,5,100.0
44,Brighton,Bart Verbruggen,GK,5,5,100.0
45,Brighton,Carlos Baleba,DM,5,5,100.0
46,Brighton,Danny Welbeck,FW,3,5,60.0
47,Brighton,Ferdi Kadioglu,RW,5,5,100.0
48,Brighton,Georginio Rutter,AMC,4,5,80.0
49,Brighton,Jan Paul van Hecke,CB,5,5,100.0
50,Brighton,Lewis Dunk,CB,5,5,100.0
51,Brighton,Mats Wieffer,DR,3,5,60.0
52,Brighton,Maxim De Cuyper,DL,1,5,20.0
53,Brighton,Yankuba Minteh,LW,5,5,100.0
54,Brighton,Yasin Ayari,DM,5,5,100.0
55,Burnley,Axel Tuanzebe,CB,3,5,60.0
56,Burnley,Chimuanya Ugochukwu,AMC,2,5,40.0
57,Burnley,Florentino Luís,DM,5,5,100.0
58,Burnley,Jacob Bruun Larsen,RW,2,5,40.0
59,Burnley,Jaidon Anthony,LW,5,5,100.0
60,Burnley,Josh Cullen,DM,5,5,100.0
61,Burnley,Kyle Walker,DR,5,5,100.0
62,Burnley,Martin Dubravka,GK,5,5,100.0
63,Burnley,Maxime Estève,CB,5,5,100.0
64,Burnley,Quilindschy Hartman,DL,5,5,100.0
65,Burnley,Zian Flemming,FW,2,5,40.0
66,Chelsea,Alejandro Garnacho,LW,3,5,60.0
67,Chelsea,Enzo Fernández,DM,4,5,80.0
68,Chelsea,Josh Acheampong,CB,3,5,60.0
69,Chelsea,João Pedro,AMC,5,5,100.0
70,Chelsea,Marc Cucurella,DL,5,5,100.0
71,Chelsea,Marc Guiu,FW,1,5,20.0
72,Chelsea,Moisés Caicedo,DM,4,5,80.0
73,Chelsea,Pedro Neto,RW,5,5,100.0
74,Chelsea,Reece James,DR,5,5,100.0
75,Chelsea,Robert Sánchez,GK,5,5,100.0
76,Chelsea,Trevoh Chalobah,CB,4,5,80.0
77,Crystal Palace,Adam Wharton,MC,5,5,100.0
78,Crystal Palace,Chris Richards,CB,5,5,100.0
79,Crystal Palace,Daichi Kamada,MC,5,5,100.0
80,Crystal Palace,Daniel Muñoz,DR,5,5,100.0
81,Crystal Palace,Dean Henderson,GK,5,5,100.0
82,Crystal Palace,Ismaila Sarr,AMC,4,5,80.0
83,Crystal Palace,Jean-Philippe Mateta,FW,5,5,100.0
84,Crystal Palace,Marc Guehi,CB,5,5,100.0
85,Crystal Palace,Maxence Lacroix,CB,5,5,100.0
86,Crystal Palace,Tyrick Mitchell,DL,5,5,100.0
87,Crystal Palace,Yeremi Pino,AMC,5,5,100.0
88,Everton,Beto,FW,4,5,80.0
89,Everton,Idrissa Gueye,DM,5,5,100.0
90,Everton,Iliman Ndiaye,RW,5,5,100.0
91,Everton,Jack Grealish,LW,4,5,80.0
92,Everton,Jake O&#039;Brien,DR,5,5,100.0
93,Everton,James Garner,DM,5,5,100.0
94,Everton,James Tarkowski,CB,5,5,100.0
95,Everton,Jordan Pickford,GK,5,5,100.0
96,Everton,Kiernan Dewsbury-Hall,AMC,4,5,80.0
97,Everton,Michael Keane,CB,5,5,100.0
98,Everton,Vitalii Mykolenko,DL,5,5,100.0
