opponent,pos_group,Threat,Goal_Threat,Assist_Threat,Understat_XG_Against,Understat_XA_Against,N_players_avg,Rolling_Goals_Against_Per_Position_20,npxG_ewm,xA_ewm
Arsenal,AMC,0.1880839730054995,0.1880839730054995,0.11147197178908352,0.1391499995350728,0.06128635619647105,1.3225987256910172,0.15,0.1391499995350728,0.06128635619647105
Arsenal,CB,0.03025924778415385,0.03025924778415385,0.06497309697186902,0.02238667254744531,0.035721664381608925,2.2915618161216944,0.0,0.02238667254744531,0.035721664381608925
Arsenal,DL,0.018492105515707208,0.018492105515707208,0.08773682641812681,0.013680998081840479,0.04823697212051872,1.0,0.05,0.013680998081840479,0.04823697212051872
Arsenal,DM,0.04524135205698618,0.04524135205698618,0.10165397840013322,0.03347086951162829,0.055888505684700246,1.825323493279353,0.05,0.03347086951162829,0.055888505684700246
Arsenal,DR,0.04554676469824111,0.04554676469824111,0.09809598927318386,0.033696822676108636,0.05393235307092954,1.0,0.0,0.033696822676108636,0.05393235307092954
Arsenal,FW,0.2933003100115958,0.2933003100115958,0.12380034832887257,0.21699210916050202,0.06806439433301115,1.0424366083870455,0.15,0.21699210916050202,0.06806439433301115
Arsenal,LW,0.15765850208063908,0.15765850208063908,0.06959313133225715,0.11664035026833326,0.038261720567090436,1.0,0.1,0.11664035026833326,0.038261720567090436
Arsenal,MC,0.06502025071593931,0.06502025071593931,0.14121502961580487,0.03826309924866562,0.06674392408180786,2.231857433229522,0.0,0.03826309924866562,0.06674392408180786
Arsenal,RW,0.0718749846940074,0.0718749846940074,0.13364608685385834,0.053175206408799414,0.07347749888813024,1.0,0.0,0.053175206408799414,0.07347749888813024
Aston Villa,AMC,0.2273654452264275,0.2273654452264275,0.19879410439687578,0.22684886692541392,0.1752094100153165,1.1808216235522475,0.25,0.22684886692541392,0.1752094100153165
Aston Villa,CB,0.05989610614533199,0.05989610614533199,0.019730220986132852,0.05976002113593634,0.017389451206011125,2.179143595178709,0.1,0.05976002113593634,0.017389451206011125
Aston Villa,DL,0.03488902336891717,0.03488902336891717,0.11067783980894899,0.034809754892575095,0.09754715349093834,1.0,0.1,0.034809754892575095,0.09754715349093834
Aston Villa,DM,0.05264562774225914,0.05264562774225914,0.07830308317217878,0.07220955472495125,0.08696106240243938,1.959098437293113,0.15,0.07220955472495125,0.08696106240243938
Aston Villa,DR,0.03588639495488723,0.03588639495488723,0.1279721228783996,0.03580486043271375,0.11278966353634157,1.0,0.0,0.03580486043271375,0.11278966353634157
Aston Villa,FW,0.289194662320988,0.289194662320988,0.1328698779203733,0.2885376069484129,0.1171063547878616,1.0531454666577234,0.3,0.2885376069484129,0.1171063547878616
Aston Villa,LW,0.17272963354051754,0.17272963354051754,0.23486176897091904,0.2087614160116574,0.24503020592217256,1.0,0.2,0.2087614160116574,0.24503020592217256
Aston Villa,MC,0.0903011963674621,0.0903011963674621,0.13752982398932728,0.09009603045690547,0.12121345043801535,2.4989733568785066,0.2,0.09009603045690547,0.12121345043801535
